"TÍTULO DEL PROYECTO",INSTITUCIÓN,"NOMBRE COLABORADOR","NIVEL S.N.I. COLABORADOR","INSTITUCIÓN COLABORADOR",ESPECIALIDAD
"SECUENCIACIÓN  DE LOS GENES BRCA1 Y BRCA2 E IDENTIFICACIÓN DE LAS PROBABLES MUTACIONES DE LOS CASOS CON CÁNCER DE MAMA Y OVARIO HEREDITARIO (CMOH) EN UNA MUESTRA DE LA POBLACIÓN MEXICANA","CENTRO MEDICO NACIONAL 20 DE NOVIEMBRE","FABIO ABDEL SALAMANCA GOMEZ","Nivel 3","INSTITUTO MEXICANO DEL SEGURO SOCIAL","JEFE DE LA UNIDAD DE INVESTIGACION GENÉTICA HUMANA"
"NEUROESTIMULACIÓN CEREBRAL PROFUNDA DEL NÚCLEO ACCUMBENS EN EL TRATAMIENTO DE LA DEPRESIÓN REFRACTARIA","CENTRO MEDICO NACIONAL 20 DE NOVIEMBRE","FRANCISCO JAVIER VALENCIA GRANADOS",,"CENTRO MEDICO NACIONAL 20 DE NOVIEMBRE",PSIQUIATRIA
"NEUROESTIMULACIÓN CEREBRAL PROFUNDA DEL NÚCLEO ACCUMBENS EN EL TRATAMIENTO DE LA DEPRESIÓN REFRACTARIA","CENTRO MEDICO NACIONAL 20 DE NOVIEMBRE","GEORGINA OCHOA MADRIGAL",,"CENTRO MEDICO NACIONAL 20 DE NOVIEMBRE",PSIQUIATRIA
"NEUROESTIMULACIÓN CEREBRAL PROFUNDA DEL NÚCLEO ACCUMBENS EN EL TRATAMIENTO DE LA DEPRESIÓN REFRACTARIA","CENTRO MEDICO NACIONAL 20 DE NOVIEMBRE","OSCAR MENESES LUNA",,"CENTRO MEDICO NACIONAL 20 DE NOVIEMBRE",PSIQUIATRIA
"CONTRIBUCIÓN DEL LOCUS HLA-DP EN LA EXPRESIÓN DE LAS LEUCEMIAS AGUDAS EN NIÑOS MEXICANOS","CENTRO NACIONAL DE VIGILANCIA EPIDEMIOLOGICA Y CONTROL DE ENFERMEDADES","RAQUEL AMADOR",,"HOSPITAL REGIONAL 1 CARLOS MC GREGOR","MEDICO ONCOLOGO PEDIATRA"
"CONTRIBUCIÓN DEL LOCUS HLA-DP EN LA EXPRESIÓN DE LAS LEUCEMIAS AGUDAS EN NIÑOS MEXICANOS","CENTRO NACIONAL DE VIGILANCIA EPIDEMIOLOGICA Y CONTROL DE ENFERMEDADES","ROBERTO OLAYA VARGAS",,"SERVICIO DE ONCOLOGÍA DEL INSTITUTO NACIONAL DE PEDIATRÍA","ONCOLOGÍA PEDIATRICA"
"DESARROLLO DE UNA TÉCNICA DE CITOMETRÍA DE FLUJO PARA LA DETERMINACIÓN INTRACELULAR DE LA PROTEÍNA NS1 (DV-NS1-CF) PARA EL DIAGNÓSTICO TEMPRANO DE CASOS DE DENGUE","CENTRO NACIONAL DE VIGILANCIA EPIDEMIOLOGICA Y CONTROL DE ENFERMEDADES","YOLANDA MEDINA FLORES",,"SECRETARIA DE SALUD","ANTICUERPOS MONOCLONALES"
"ANÁLISIS DE RIESGO  PARA LITIASIS URINARIA ASOCIADO A LOS POLIMORFISMOS EN LOS GENES NADC1, ZNF365 Y VEGF Y A ALTERACIONES BIOQUÍMICAS  EN PACIENTES CON DIABETES MELLITUS TIPO II","FUNDACION MEXICANA PARA LA SALUD, CAPITULO PENINSULAR, A.C.","MARTHA MARIA DE LOS ANGELES MEDINA ESCOBEDO",,"SECRETARIA DE SALUD",NEFROLOGIA
"ANÁLISIS DE RIESGO  PARA LITIASIS URINARIA ASOCIADO A LOS POLIMORFISMOS EN LOS GENES NADC1, ZNF365 Y VEGF Y A ALTERACIONES BIOQUÍMICAS  EN PACIENTES CON DIABETES MELLITUS TIPO II","FUNDACION MEXICANA PARA LA SALUD, CAPITULO PENINSULAR, A.C.","LUISA LILIANE MAZA RODRÍGUEZ",,"FACULTAD DE MEDICINA, UNIVERSIDAD AUTÓNOMA DE YUCATÁN","ESTUDIOS AVANZADOS EN SALUD Y FAMILIA"
"NEUROMODULACION EN EPILEPSIA REFRACTARIA DE AREAS ELOCUENTES","HOSPITAL GENERAL DE MEXICO, OD","MARCOS VELASCO CAMPOS","Nivel 3","HOSPITAL GENERAL DE MEXICO",NEUROFISIÓLOGO
"NEUROMODULACION EN EPILEPSIA REFRACTARIA DE AREAS ELOCUENTES","HOSPITAL GENERAL DE MEXICO, OD","FRANCISCO VELASCO CAMPOS","Nivel 3","SECRETARIA DE SALUD",NEUROCIRUGIA
"NEUROMODULACION EN EPILEPSIA REFRACTARIA DE AREAS ELOCUENTES","HOSPITAL GENERAL DE MEXICO, OD","JOSE DAMIAN CARRILLO RUIZ","Nivel 1","HOSPITAL GENERAL DE MEXICO",NEUROCIRUGÍA
"NEUROMODULACION EN EPILEPSIA REFRACTARIA DE AREAS ELOCUENTES","HOSPITAL GENERAL DE MEXICO, OD","GUILLERMO CASTRO FARFÁN",,"HOSPITAL GENERAL DE MÉXICO",NEUROCIRUGÍA
"NEUROMODULACION EN EPILEPSIA REFRACTARIA DE AREAS ELOCUENTES","HOSPITAL GENERAL DE MEXICO, OD","GUADALUPE MERCEDES GUERRERO AVENDAÑO",,"HOSPITAL GENERAL DE MEXICO","NEURO RADIOLOGÍA"
"CARACTERIZACIÓN DE CEPAS DE E. COLI UROPATOGENAS DE MUJERES EMBARAZADAS  CON INFECCIÓN URINARIA CRÓNICA: BASES MOLECULARES DE RESISTENCIA ANTIMICROBIANA E INVASIVIDAD","HOSPITAL GENERAL DR. MANUEL GEA GONZALEZ","FERNANDO TUZ DZIB",,"INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SLVADOR ZUBIRAN",
"CARACTERIZACIÓN DE CEPAS DE E. COLI UROPATOGENAS DE MUJERES EMBARAZADAS  CON INFECCIÓN URINARIA CRÓNICA: BASES MOLECULARES DE RESISTENCIA ANTIMICROBIANA E INVASIVIDAD","HOSPITAL GENERAL DR. MANUEL GEA GONZALEZ","HIPÓLITO ANGEL MANJARREZ HERNÁNDEZ",,,
"PARTICIPACIÓN DEL COMPLEJO DE ADHESIÓN VÍA B-1 INTEGRINA DE OSTEOBLASTOS HUMANOS DIFERENCIADOS A PARTIR DE CELULAS MADRE DE MEMBRANA AMNIOTICA EN EL PROCESO DE ADHESIÓN A UNA MATRIZ. POTENCIAL APLICACIÓN EN INGENIERÍA DE TEJIDOS ÓSEOS","HOSPITAL GENERAL DR. MANUEL GEA GONZALEZ","JAIME CALDERON PEREZ",,UNAM,GINECOBSTETRICIA
"CARACTERIZACIÓN DE CEPAS DE E. COLI UROPATOGENAS DE MUJERES EMBARAZADAS  CON INFECCIÓN URINARIA CRÓNICA: BASES MOLECULARES DE RESISTENCIA ANTIMICROBIANA E INVASIVIDAD","HOSPITAL GENERAL DR. MANUEL GEA GONZALEZ","SAMUEL WEINGERZ MEHL",,"UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO","GINECOLOGIA Y OBSTETRICIA"
"ESTUDIO MULTICÉNTRICO DE LA CORRELACIÓN DEL GENOTIPO DE MDR1 (ABCB1) Y CYP3A5 CON EL PERFIL FARMACOCINÉTICO DEL TACROLIMUS EN NIÑOS CON TRASPLANTE RENAL","HOSPITAL INFANTIL DE MEXICO FEDERICO GOMEZ","HERLINDA REYES PEREZ",,,
"IDENTIFICACIÓN Y CARACTERIZACION MOLECULAR DE LA INFECCIÓN ACTIVA POR CITOMEGALOVIRUS EN RECIÉN NACIDOS PREMATUROS","HOSPITAL INFANTIL DE MEXICO FEDERICO GOMEZ","NANCY JUSTINIANI",,"HOSPITAL GENERAL DE MEXICO",
"REVERSIÓN DE LA RESISTENCIA A LA QUIMIOTERAPIA EN LINFOMAS PEDIÁTRICOS MEDIANTE LA INDUCCIÓN DE APOPTOSIS, UTILIZANDO VECTORES BACTERIANOS QUE EXPRESAN PÉPTIDOS ANTAGÓNICOS A LA ACTIVIDAD DE BCL-2.","HOSPITAL INFANTIL DE MEXICO FEDERICO GOMEZ","SARA HUERTA YEPEZ","Nivel 1","HOSPITAL INFANTIL DE MEXICO FEDERICO GOMEZ",
"REVERSIÓN DE LA RESISTENCIA A LA QUIMIOTERAPIA EN LINFOMAS PEDIÁTRICOS MEDIANTE LA INDUCCIÓN DE APOPTOSIS, UTILIZANDO VECTORES BACTERIANOS QUE EXPRESAN PÉPTIDOS ANTAGÓNICOS A LA ACTIVIDAD DE BCL-2.","HOSPITAL INFANTIL DE MEXICO FEDERICO GOMEZ","AURORA MEDINA SANSON",,"HOSPITAL INFANTIL DE MEXICO FEDERICO GOMEZ",
"REVERSIÓN DE LA RESISTENCIA A LA QUIMIOTERAPIA EN LINFOMAS PEDIÁTRICOS MEDIANTE LA INDUCCIÓN DE APOPTOSIS, UTILIZANDO VECTORES BACTERIANOS QUE EXPRESAN PÉPTIDOS ANTAGÓNICOS A LA ACTIVIDAD DE BCL-2.","HOSPITAL INFANTIL DE MEXICO FEDERICO GOMEZ","MARIO ISRAEL VEGA PAREDES","Nivel 1","INSTITUTO MEXICANO DEL SEGURO SOCIAL",
"IDENTIFICACIÓN Y CARACTERIZACION MOLECULAR DE LA INFECCIÓN ACTIVA POR CITOMEGALOVIRUS EN RECIÉN NACIDOS PREMATUROS","HOSPITAL INFANTIL DE MEXICO FEDERICO GOMEZ","MARGARITA NAVA FRIAS",,"SECRETARIA DE SALUD","INFECTOLOGIA PEDIATRICA"
"DIAGNOSTICO MOLECULAR DE PATÓGENOS ASOCIADOS A ENFERMEDADES RESPIRATORIAS USANDO UN MICROARREGLO DE DNA","HOSPITAL INFANTIL DE MEXICO FEDERICO GOMEZ","ROSA MARIA WONG CHEW",Candidato,"UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO","INFECTOLOGIA PEDIÁTRICA"
"DIAGNOSTICO MOLECULAR DE PATÓGENOS ASOCIADOS A ENFERMEDADES RESPIRATORIAS USANDO UN MICROARREGLO DE DNA","HOSPITAL INFANTIL DE MEXICO FEDERICO GOMEZ","MARGARITA NAVA FRIAS",,"SECRETARIA DE SALUD","INFECTOLOGÍA PEDIÁTRICA"
"EFECTO DEL BLOQUEO DE LA ALDOSTERONA EN LA NEFROPATIA CRONICA EN NIÑOS CON TRASPLANTE RENAL.","HOSPITAL INFANTIL DE MEXICO FEDERICO GOMEZ","MARIA INES DEL PILAR GARCIA ROCA",,"SECRETARIA DE SALUD","MAESTRIA EN INVESTIGACION CLINICA"
"ESTUDIO MULTICÉNTRICO DE LA CORRELACIÓN DEL GENOTIPO DE MDR1 (ABCB1) Y CYP3A5 CON EL PERFIL FARMACOCINÉTICO DEL TACROLIMUS EN NIÑOS CON TRASPLANTE RENAL","HOSPITAL INFANTIL DE MEXICO FEDERICO GOMEZ","IRMA ESTHER DEL MORAL ESPINOSA",,"CENTRO MEDICO ISSEMYM ECATEPEC","NEFROLOGIA PEDIATRICA"
"EFECTO DEL BLOQUEO DE LA ALDOSTERONA EN LA NEFROPATIA CRONICA EN NIÑOS CON TRASPLANTE RENAL.","HOSPITAL INFANTIL DE MEXICO FEDERICO GOMEZ","IRMA ESTHER DEL MORAL ESPINOSA",,"CENTRO MEDICO ISSEMYM ECATEPEC","NEFROLOGIA PEDIATRICA"
"EFECTO DEL BLOQUEO DE LA ALDOSTERONA EN LA NEFROPATIA CRONICA EN NIÑOS CON TRASPLANTE RENAL.","HOSPITAL INFANTIL DE MEXICO FEDERICO GOMEZ","MARA MEDEIROS DOMINGO","Nivel 1","HOSPITAL INFANTIL DE MEXICO FEDERICO GOMEZ","NEFROLOGIA PEDIATRICA"
"EFECTO DEL BLOQUEO DE LA ALDOSTERONA EN LA NEFROPATIA CRONICA EN NIÑOS CON TRASPLANTE RENAL.","HOSPITAL INFANTIL DE MEXICO FEDERICO GOMEZ","BENJAMIN ROMERO NAVARRO",,"SECRETARIA DE SALUD","NEFROLOGIA PEDIATRICA"
"ESTUDIO MULTICÉNTRICO DE LA CORRELACIÓN DEL GENOTIPO DE MDR1 (ABCB1) Y CYP3A5 CON EL PERFIL FARMACOCINÉTICO DEL TACROLIMUS EN NIÑOS CON TRASPLANTE RENAL","HOSPITAL INFANTIL DE MEXICO FEDERICO GOMEZ","TEODORO SAUL VALVERDE ROSAS",,"SECRETARIA DE SALUD","NEFROLOGIA PEDIATRICA"
"EFECTO DEL BLOQUEO DE LA ALDOSTERONA EN LA NEFROPATIA CRONICA EN NIÑOS CON TRASPLANTE RENAL.","HOSPITAL INFANTIL DE MEXICO FEDERICO GOMEZ","TEODORO SAUL VALVERDE ROSAS",,"SECRETARIA DE SALUD","NEFROLOGIA PEDIATRICA"
"ESTUDIO MULTICÉNTRICO DE LA CORRELACIÓN DEL GENOTIPO DE MDR1 (ABCB1) Y CYP3A5 CON EL PERFIL FARMACOCINÉTICO DEL TACROLIMUS EN NIÑOS CON TRASPLANTE RENAL","HOSPITAL INFANTIL DE MEXICO FEDERICO GOMEZ","YOLANDA FUENTES VELASCO",,"SECRETARIA DE SALUD","NEFROLOGIA PEDIATRICA"
"IDENTIFICACIÓN Y CARACTERIZACION MOLECULAR DE LA INFECCIÓN ACTIVA POR CITOMEGALOVIRUS EN RECIÉN NACIDOS PREMATUROS","HOSPITAL INFANTIL DE MEXICO FEDERICO GOMEZ","MARÍA ROSA HORTENSIA MAÑÉ LEZICA",,"HOSPITAL DE LA MUJER",NEONATOLOGÍA
"EFECTO DEL BLOQUEO DE LA ALDOSTERONA EN LA NEFROPATIA CRONICA EN NIÑOS CON TRASPLANTE RENAL.","HOSPITAL INFANTIL DE MEXICO FEDERICO GOMEZ","ANTONIO ENRIQUE CATANEO DAVILA",,"FACULTAD DE MEDICINA UNAM","MEDICINA INTERNA Y NEFROLOGIA"
"ESTUDIO MULTICÉNTRICO DE LA CORRELACIÓN DEL GENOTIPO DE MDR1 (ABCB1) Y CYP3A5 CON EL PERFIL FARMACOCINÉTICO DEL TACROLIMUS EN NIÑOS CON TRASPLANTE RENAL","HOSPITAL INFANTIL DE MEXICO FEDERICO GOMEZ","MARIA INES DEL PILAR GARCIA ROCA",,"SECRETARIA DE SALUD",
"IDENTIFICACIÓN Y CARACTERIZACION MOLECULAR DE LA INFECCIÓN ACTIVA POR CITOMEGALOVIRUS EN RECIÉN NACIDOS PREMATUROS","HOSPITAL INFANTIL DE MEXICO FEDERICO GOMEZ","DINA VILLANUEVA GARCIA",,"HOSPITAL INFANTIL DE MEXICO FEDERICO GOMEZ",NEONATOLOGIA
"EFECTO DEL BLOQUEO DE LA ALDOSTERONA EN LA NEFROPATIA CRONICA EN NIÑOS CON TRASPLANTE RENAL.","HOSPITAL INFANTIL DE MEXICO FEDERICO GOMEZ","GUILLERMO RAMON GARCIA",,"HOSPITAL INFANTIL DE MEXICO FEDERICO GOMEZ",PATOLOGIA
"EVALUACION DE UN METODO ALTERNO DE TOMA DE MUESTRA SANGUINEA PARA EL DIAGNOSTICO DE DENGUE CLASICO Y HEMORRAGICO EN PACIENTES DE LA COSTA DE CHIAPAS","INSTITUTO DE SALUD DEL ESTADO DE CHIAPAS","FRANCISCO JAVIER RAMIREZ AGUILAR",,"UNIVERSIDAD AUTONOMA DE CHIAPAS","ENFERMEDADES EMERGENTES Y REEMERGENTES"
"EVALUACION DE UN METODO ALTERNO DE TOMA DE MUESTRA SANGUINEA PARA EL DIAGNOSTICO DE DENGUE CLASICO Y HEMORRAGICO EN PACIENTES DE LA COSTA DE CHIAPAS","INSTITUTO DE SALUD DEL ESTADO DE CHIAPAS","GERARDO SUZÁN AZPIRÍ","Nivel 1","UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO","EPIDEMIOLOGIA DE LAS ENFERMEDADES TRANSMITIDAS POR VECTOR Y POR ROEDORES."
"EVALUACION DE UN METODO ALTERNO DE TOMA DE MUESTRA SANGUINEA PARA EL DIAGNOSTICO DE DENGUE CLASICO Y HEMORRAGICO EN PACIENTES DE LA COSTA DE CHIAPAS","INSTITUTO DE SALUD DEL ESTADO DE CHIAPAS","ANDRES GERARDO ESPINOZA",,"INSTITUTO DE SALUD DEL ESTADO DE CHIAPAS","SALUD PUBLICA"
"EVALUACION DE UN METODO ALTERNO DE TOMA DE MUESTRA SANGUINEA PARA EL DIAGNOSTICO DE DENGUE CLASICO Y HEMORRAGICO EN PACIENTES DE LA COSTA DE CHIAPAS","INSTITUTO DE SALUD DEL ESTADO DE CHIAPAS","MARTHA NOEMI RODRIGUEZ CARIILLO",,"INSTITUTO DE SALUD DEL ESTADO DE CHIAPAS","SALUD PUBLICA"
"METFORMINA SOBRE EL GROSOR ÍNTIMA-MEDIA CAROTÍDEO, LA RIGIDEZ ARTERIAL, LA NITROOXIDACIÓN Y LA INFLAMACIÓN EN PACIENTES DEL ESTUDIO LINDAVISTA CON DIAGNÓSTICO DE SÍNDROME METABÓLICO","INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","GUILLERMO MANUEL CEBALLOS REYES","Nivel 2","INSTITUTO POLITECNICO NACIONAL",
"EL USO DE LA N-ACETILCISTEINA PARA MEJORAR EL ÍNDICE DE DESEMPEÑO VENTRICULAR IZQUIERDO Y SU EFECTO EN LA PEROXIDACIÓN LÍPIDICA, CON EL OBJETO DE ENCONTRAR UN NUEVO ESQUEMA DE TRATAMIENTO DURANTE LA REPERFUSIÓN CORONARIA EN EL INFARTO AGUDO DEL MIOCARDIO","INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","ALICIA QUESADA GARCIA",,"HOSPITAL GENERAL ISSSTE DELEGACION AGUASCALIENTES",URGENCIOLOGA
"EL USO DE LA N-ACETILCISTEINA PARA MEJORAR EL ÍNDICE DE DESEMPEÑO VENTRICULAR IZQUIERDO Y SU EFECTO EN LA PEROXIDACIÓN LÍPIDICA, CON EL OBJETO DE ENCONTRAR UN NUEVO ESQUEMA DE TRATAMIENTO DURANTE LA REPERFUSIÓN CORONARIA EN EL INFARTO AGUDO DEL MIOCARDIO","INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","JOSE DE JESUS VILLANUEVA ESCALERA",,"HOSPITAL GENERAL ISSSTE DELEGACION AGUASCALIENTES",CARDIOLOGIA
"METFORMINA SOBRE EL GROSOR ÍNTIMA-MEDIA CAROTÍDEO, LA RIGIDEZ ARTERIAL, LA NITROOXIDACIÓN Y LA INFLAMACIÓN EN PACIENTES DEL ESTUDIO LINDAVISTA CON DIAGNÓSTICO DE SÍNDROME METABÓLICO","INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","ALEJANDRA MEANEY MARTINEZ",Candidato,"INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO",CARDIOLOGÍA
"METFORMINA SOBRE EL GROSOR ÍNTIMA-MEDIA CAROTÍDEO, LA RIGIDEZ ARTERIAL, LA NITROOXIDACIÓN Y LA INFLAMACIÓN EN PACIENTES DEL ESTUDIO LINDAVISTA CON DIAGNÓSTICO DE SÍNDROME METABÓLICO","INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","EDUARDO MEANEY MENDIOLEA",,"INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO",CARDIOLOGÍA
"METFORMINA SOBRE EL GROSOR ÍNTIMA-MEDIA CAROTÍDEO, LA RIGIDEZ ARTERIAL, LA NITROOXIDACIÓN Y LA INFLAMACIÓN EN PACIENTES DEL ESTUDIO LINDAVISTA CON DIAGNÓSTICO DE SÍNDROME METABÓLICO","INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","GUSTAVO SOLACHE ORTIZ",,"INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO",CARDIOLOGÍA
"ASOCIACIÓN DE POLIMORFISMOS DE UN SOLO NUCLEÓTIDO EN GENES CANDIDATOS AL DESARROLLO DE DIABETES Y OBESIDAD EN UNA POBLACIÓN DERECHOHABIENTE DEL ISSSTE","INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","MARTHA EUNICE RODRIGUEZ ARELLANO",,"INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO",ENDOCRINOLOGÍA
"ASOCIACIÓN DE POLIMORFISMOS DE UN SOLO NUCLEÓTIDO EN GENES CANDIDATOS AL DESARROLLO DE DIABETES Y OBESIDAD EN UNA POBLACIÓN DERECHOHABIENTE DEL ISSSTE","INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","RAFAEL RANGEL CRUZ",,"INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO",ENDOCRINOLOGÍA
"ASOCIACIÓN DE POLIMORFISMOS DE UN SOLO NUCLEÓTIDO EN GENES CANDIDATOS AL DESARROLLO DE DIABETES Y OBESIDAD EN UNA POBLACIÓN DERECHOHABIENTE DEL ISSSTE","INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","MIGUEL ANGEL GUILLÉN GONZÁLEZ",,"INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","ENDOCRINOLOGIA CLINICA"
"EL USO DE LA N-ACETILCISTEINA PARA MEJORAR EL ÍNDICE DE DESEMPEÑO VENTRICULAR IZQUIERDO Y SU EFECTO EN LA PEROXIDACIÓN LÍPIDICA, CON EL OBJETO DE ENCONTRAR UN NUEVO ESQUEMA DE TRATAMIENTO DURANTE LA REPERFUSIÓN CORONARIA EN EL INFARTO AGUDO DEL MIOCARDIO","INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","ALEJANDRO ROSAS CABRAL","Nivel 1","UNIVERSIDAD AUTONOMA DE AGUASCALIENTES",HEMATOLOGIA
"EL USO DE LA N-ACETILCISTEINA PARA MEJORAR EL ÍNDICE DE DESEMPEÑO VENTRICULAR IZQUIERDO Y SU EFECTO EN LA PEROXIDACIÓN LÍPIDICA, CON EL OBJETO DE ENCONTRAR UN NUEVO ESQUEMA DE TRATAMIENTO DURANTE LA REPERFUSIÓN CORONARIA EN EL INFARTO AGUDO DEL MIOCARDIO","INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","ADRIAN GUTIERREZ HERNANDEZ",,"HOSPITAL GENERAL DEL ISSSTE EN LA CD DE AGUASCALIENTES.","MEDICINA INTERNA"
"ESTUDIO CLÍNICO-FUNCIONAL DE LAS VARIANTES THR290(307)/ASN663(680) Y ALA290(307)/SER663(680) DEL RECEPTOR DE LA HORMONA ESTIMULANTE DEL FOLÍCULO Y SU RELACIÓN CON LA RESPUESTA A HIPERESTIMULACIÓN OVÁRICA CONTROLADA.","INSTITUTO MEXICANO DEL SEGURO SOCIAL - FONDO PARA EL FOMENTO A LA INVESTIGACION MEDICA","ANTONIO PELLICER",,,
"PREVENCIÓN TEMPRANA DE HIPERTENSIÓN ARTERIAL. ESTUDIO MULTICÉNTRICO Y MULTIDISCIPLINARIO. PRIMERA FASE: INTEGRACIÓN DE UNA COHORTE DE SUJETOS DE ALTO RIESGO PARA EL DESARROLLO DE HIPERTENSIÓN. (GEMPHI)","INSTITUTO MEXICANO DEL SEGURO SOCIAL - FONDO PARA EL FOMENTO A LA INVESTIGACION MEDICA","ALEJANDRO REYES FUENTES","Nivel 1","INSTITUTO MEXICANO DEL SEGURO SOCIAL",
"ESTUDIO CLÍNICO-FUNCIONAL DE LAS VARIANTES THR290(307)/ASN663(680) Y ALA290(307)/SER663(680) DEL RECEPTOR DE LA HORMONA ESTIMULANTE DEL FOLÍCULO Y SU RELACIÓN CON LA RESPUESTA A HIPERESTIMULACIÓN OVÁRICA CONTROLADA.","INSTITUTO MEXICANO DEL SEGURO SOCIAL - FONDO PARA EL FOMENTO A LA INVESTIGACION MEDICA","FABIAN JESUS ARECHAVALETA VELASCO","Nivel 1","INSTITUTO MEXICANO DEL SEGURO SOCIAL",
"ESTUDIO CLÍNICO-FUNCIONAL DE LAS VARIANTES THR290(307)/ASN663(680) Y ALA290(307)/SER663(680) DEL RECEPTOR DE LA HORMONA ESTIMULANTE DEL FOLÍCULO Y SU RELACIÓN CON LA RESPUESTA A HIPERESTIMULACIÓN OVÁRICA CONTROLADA.","INSTITUTO MEXICANO DEL SEGURO SOCIAL - FONDO PARA EL FOMENTO A LA INVESTIGACION MEDICA","TERESA DE JESUS ZARIÑAN GARCIA","Nivel 1","INSTITUTO MEXICANO DEL SEGURO SOCIAL",
"ESTUDIO CLÍNICO-FUNCIONAL DE LAS VARIANTES THR290(307)/ASN663(680) Y ALA290(307)/SER663(680) DEL RECEPTOR DE LA HORMONA ESTIMULANTE DEL FOLÍCULO Y SU RELACIÓN CON LA RESPUESTA A HIPERESTIMULACIÓN OVÁRICA CONTROLADA.","INSTITUTO MEXICANO DEL SEGURO SOCIAL - FONDO PARA EL FOMENTO A LA INVESTIGACION MEDICA","ALFREDO ANTONIO ULLOA Y AGUIRRE","Nivel 3","INSTITUTO MEXICANO DEL SEGURO SOCIAL",
"COHORTE DE TRABAJADORES DEL IMSS","INSTITUTO MEXICANO DEL SEGURO SOCIAL - FONDO PARA EL FOMENTO A LA INVESTIGACION MEDICA","IVONNE NICOLE FLORES LEONARD",,"INSTITUTO MEXICANO DEL SEGURO SOCIAL",
"USO DE INMUNOMODULADORES PARA EL TRATAMIENTO DE ULCERAS DE PIE DIABÉTICO","INSTITUTO MEXICANO DEL SEGURO SOCIAL - FONDO PARA EL FOMENTO A LA INVESTIGACION MEDICA","GERARDO MARTINEZ AGUILAR","Nivel 1","INSTITUTO MEXICANO DEL SEGURO SOCIAL",
"PREVENCIÓN TEMPRANA DE HIPERTENSIÓN ARTERIAL. ESTUDIO MULTICÉNTRICO Y MULTIDISCIPLINARIO. PRIMERA FASE: INTEGRACIÓN DE UNA COHORTE DE SUJETOS DE ALTO RIESGO PARA EL DESARROLLO DE HIPERTENSIÓN. (GEMPHI)","INSTITUTO MEXICANO DEL SEGURO SOCIAL - FONDO PARA EL FOMENTO A LA INVESTIGACION MEDICA","IVONNE MEJIA RODRIGUEZ",,"INSTITUTO MEXICANO DEL SEGURO SOCIAL",
"COHORTE DE TRABAJADORES DEL IMSS","INSTITUTO MEXICANO DEL SEGURO SOCIAL - FONDO PARA EL FOMENTO A LA INVESTIGACION MEDICA","KATIA GALLEGOS CARRILLO",,"INSTITUTO MEXICANO DEL SEGURO SOCIAL",
"DETECCION DE LAS PROTEINAS HOXB2, HOXB4 Y HOXB13 COMO MARCADORES PRONOSTICOS EN  LESIONES DEL CERVIX UTERINO.","INSTITUTO MEXICANO DEL SEGURO SOCIAL - FONDO PARA EL FOMENTO A LA INVESTIGACION MEDICA","DULCE MARIA HERNANDEZ HERNANDEZ","Nivel 1","INSTITUTO MEXICANO DEL SEGURO SOCIAL",BIOESTADISTICA
