"TITULO DEL PROYECTO",INSTITUCIÓN,"RESPONSABLE TÉCNICO","NIVEL S.N.I.",DEMANDA
"Eficiencia y dinámica de la transmisión vertical de virus dengue en focos persistentes en México.","Instituto Nacional de Salud Pública","Rogelio Danis Lozano",1,"Enfermedades Infecciosas y Parasitarias"
"Desarrollo y prueba de un  Modelo de entrenamiento en prácticas de crianza positivas en familias mexicanas con niños/as con problemas de conducta.","Instituto Nacional de Psiquiatría ""Ramón de La Fuente Muñiz""","Jorge Ameth Villatoro Velázquez",1,"Grupos Vulnerables"
"Marcadores genético-moleculares para el diagnóstico y el análisis de diversidad de aislados de Salmonella enterica obtenidos de productos cárnicos y lácteos","Universidad Michoacana de San Nicolás de Hidalgo","Gerardo Vázquez Marrufo",1,"Enfermedades Infecciosas y Parasitarias"
"Caracterización de cepas endémicas de Helicobacter pylori del Estado de  Durango y estudio de genes implicados en la resistencia a antibióticos.","Universidad Juárez del Estado de Durango","Estela Ruíz Baca",1,"Neoplasias Malignas"
"Impacto de un programa de entrenamiento físico en calidad de vida y seguridad en pacientes con cirrosis e hipertensión portal","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Aldo Torre Delgadillo",2,"Enfermedades crónicas o degenerativas"
"Obtención de imágenes infrarrojas para la exploración del segmento anterior del ojo en presencia de opacidad en córnea","Centro de Investigación Científica y de Educación Superior de Ensenada","Victor Ruíz Cortés",1,"Desarrollo y Evaluación de Tecnologías para la Salud"
"Expresión inmunohistoquímica de distrofina en la biopsia de piel de pacientes con distrofinopatía (distrofia muscular de Duchenne / Becker)","Servicios de Salud de Durango","Luis Ángel Ruano Calderón",,"Desarrollo y Evaluación de Tecnologías para la Salud"
"DESARROLLO DE TECNOLOGÍAS PARA LA PREVENCIÓN Y DIAGNÓSTICO DE LA ENFERMEDAD CELIACA EN LOS NIÑOS","Centro de Investigación en Alimentación y Desarrollo AC","Ana Maria Calderón de la Barca Cota",2,"Desarrollo y Evaluación de Tecnologías para la Salud"
"EVALUACIÓN DINÁMICA DE PRESIONES EN ASIENTOS DE SILLAS DE RUEDAS MANUALES","Instituto Nacional de Rehabilitación","Diana Alicia Gayol Mérida",,"Desarrollo y Evaluación de Tecnologías para la Salud"
"Caracterización de la diversidad genómica del virus de la inmunodeficiencia humana para identificar polimorfismos de relevancia clínica y utilidad práctica a través de una técnica molecular innovadora de alta resolución.","Universidad Autónoma de San Luis Potosí","Christian Alberto García Sepúlveda",1,"Enfermedades Infecciosas y Parasitarias"
"APLICACIÓN DE CAMPOS ELECTROMAGNÉTICOS DE MUY BAJA FRECUENCIA EN LA CICATRIZACIÓN DE ÚLCERAS CRONICAS EN PACIENTES DIABETICOS COMO UN MÉTODO DE TRATAMIENTO PREVENTIVO Y COMPLEMENTARIO.","Universidad Autónoma del Estado de Morelos","Luis Enrique Alberto Cañedo Y Dorantes",1,"Enfermedades crónicas o degenerativas"
"PREVENCIÓN DE EXACERBACIONES CON VENTILACIÓN MECÁNICA NO INVASIVA EN EPOC ESTABLE MUY GRAVE (GOLD IV)","Instituto Nacional de Enfermedades Respiratorias","Raul Humberto Sansores Martínez",2,"Enfermedades crónicas o degenerativas"
"Consolidación de una cohorte de adultos residentes en el centro de México diseñada para medir la incidencia de la diabetes y de los componentes del síndrome metabólico","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Carlos Alberto Aguilar Salinas",3,"Enfermedades crónicas o degenerativas"
"Medición de marcadores de activación y respuesta inmunológica a retroelementos durante la infección por el virus de la inmunodeficiencia humana.","Instituto Nacional de Enfermedades Respiratorias","Christopher Edward Ormsby Jenkins",1,"Enfermedades Infecciosas y Parasitarias"
"IDENTIFICACIÓN DE RECEPTORES DE TRASPLANTE RENAL CON PERFIL GENÉTICO DE TOLERANCIA OPERACIONAL.","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Josefina Maria Alberu Gómez",3,"Enfermedades crónicas o degenerativas"
"Impacto del síndrome metabólico en la génesis y progresión de la osteoartritis (OA) de rodillas en adultos jóvenes. Un estudio en la Población Mexicana.","Instituto Nacional de Rehabilitación","Rolando Espinosa Morales",,"Enfermedades crónicas o degenerativas"
"Prevalencia de infección por VIH y otras Infecciones de Transmisión Sexual en Reclusorios del Estado de Guanajuato","Universidad de Guanajuato","Alejandro Ernesto Macías Hernández",2,"Enfermedades Infecciosas y Parasitarias"
"Desarrollo de métodos moleculares cuantitativos para estimar la progresión de las lesiones preneoplásicas y neoplásicas del cérvix","Instituto Potosino de Investigación Científica y Tecnológica","Ruben Hipolito López Revilla",2,"Neoplasias Malignas"
"Correlación de la expresión del gen Bik con la expresión de los genes hMAM y CK-9 en células circulantes en sangre periférica y tejido mamario neoplásico de mujeres mexicanas con cáncer de mama.","Instituto Mexicano del Seguro Social","Diego Julio Arenas Aranda",1,"Neoplasias Malignas"
"¿PUEDE UNA MANIOBRA DE INTERVENCION INFORMATIVA DISMINUIR EL NIVEL DE COTININA URINARIA EN PACIENTES PEDIATRICOS CON TABAQUISMO PASIVO?","Instituto Mexicano del Seguro Social","María Elena Yuriko Furuya Meguro",1,"Salud Ambiental y Riesgos Derivados por los Cambios Climáticos"
"Perfiles de expresión genómica de microRNAs en biopsias de tumores de cáncer de mama esporadico en población mexicana.","Universidad Autónoma de la Ciudad de México","Mario César López Camarillo",1,"Neoplasias Malignas"
"Dieta y marcadores biológicos como predictores de la densidad mamográfica en maestras mexicanas: EsMaestra un estudio prospectivo","Instituto Nacional de Salud Pública","Gabriela Torres Mejía",1,"Neoplasias Malignas"
"Epilepsia y Toxocariasis: Seropositividad de Toxocara canis en pacientes pediátricos y la relación del parásito como causa de desorden neurológico.","Hospital Infantil de México Federico Gómez","María de Lourdes Caballero García",,"Enfermedades Infecciosas y Parasitarias"
"Evaluacion de blancos de inmunidad contra el virus dengue y su potencial aplicacion en la elaboración de candidatos a vacunas","Centro de Investigación y de Estudios Avanzados del IPN","Leticia Cedillo Barrón",1,"Enfermedades Infecciosas y Parasitarias"
"EFICACIA DE LA DISCOGRAFÍA TERAPÉUTICA Y DE LA CIRUGÍA DE FUSIÓN CON INSTRUMENTACIÓN EN PACIENTES CON DOLOR LUMBAR Y/O CIÁTICO CRÓNICO DE ORIGEN DISCÓGENO, REFRACTARIO A TRATAMIENTO CONSERVADOR.","Centro Médico Nacional 20 de Noviembre","Flora del Carmen Ojeda Órnelas",,"Grupos Vulnerables"
"Comparación de la modalidad de diálisis sobre algunos marcadores antioxidantes y de estrés oxidativo en pacientes con insuficiencia renal crónica.","Instituto Mexicano del Seguro Social","Juan Manuel Gallardo Montoya",,"Enfermedades crónicas o degenerativas"
"SENSIBILIDAD A RADIOTERAPIA INDUCIDA POR CLOROQUINA EN PACIENTES CON METÁSTASIS CEREBRALES TRATADOS CON RADIOTERAPIA TOTAL DE CRÁNEO: UN ESTUDIO DE FASE II ALEATORIZADO.","Instituto Nacional de Cancerología","Oscar Gerardo Arrieta Rodríguez",2,"Neoplasias Malignas"
"Validación de biomarcadores candidato para la diferenciación molecular entre nódulos displásicos y carcinomas hepatocelulares","Instituto Nacional de Medicina Genómica","Julio Isael Pérez Carreón",1,"Neoplasias Malignas"
"Estudio de las proteínas que intervienen en la progresión neoplásica de tumores de células germinales gonadales: Determinación de indicadores histopatológicos con valor pronóstico.","Hospital General de México","Gloria Eugenia Queipo García",1,"Neoplasias Malignas"
"PREVALENCIA DE ENFERMEDAD RENAL CRONICA Y SU ASOCIACION CON FACTORES DE RIESGO PARA ENFERMEDAD CARDIOVASCULAR Y DIABETES EN LA ENCUESTA NACIONAL DE SALUD Y NUTRICION DEL DERECHOHABIENTE 2007","Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado","Demetrio Arturo Bernal Alcántara",,"Enfermedades crónicas o degenerativas"
"Polimorfismos genéticos en el síndrome de disfunción orgánica múltiple en niños mestizos mexicanos","Centro Médico Nacional 20 de Noviembre","María Laura Laue Noguera",,"Grupos Vulnerables"
"Infección por Trypanosoma cruzi e incidencia de miocardiopatía por Chagas","Instituto Mexicano del Seguro Social","Jorge Escobedo De la Peña",2,"Enfermedades Infecciosas y Parasitarias"
"IDENTIFICACION DE MARCADORES MOLECULARES  PRONOSTICOS EN TUMORES CEREBRALES DE PACIENTES PEDIATRICOS UTILIZANDO MICROARREGLOS DE ALTA DENSIDAD.","Instituto Nacional de Pediatria","Oscar Alberto Pérez González",,"Neoplasias Malignas"
"SUPERVIVENCIA Y DETERMINANTES EN ADULTOS DE LA ZONA METROPOLITANA DE LA CIUDAD DE MÉXICO CON EPOC Y OTROS PADECIMIENTOS RESPIRATORIOS","Instituto Nacional de Enfermedades Respiratorias","Francisco Franco Marina",2,"Enfermedades crónicas o degenerativas"
"PURIFICACION E IDENTIFICACION MOLECULAR DE COMPUESTOS DE ORIGEN MARINO CON ACTIVIDAD ANTIMICROBIANA","Universidad Autónoma de Campeche","Ruth López Alcántara",1,"Desarrollo y Evaluación de Tecnologías para la Salud"
"Riesgos a la salud por contaminación generada en tiraderos de basura a cielo abierto en el Estado de Morelos","Instituto Nacional de Salud Pública","Horacio Riojas Rodríguez",1,"Salud Ambiental y Riesgos Derivados por los Cambios Climáticos"
"Identificación de biomarcadores asociados a la reactivación de citomegalovirus durante el embarazo y con el desarrollo de infecciones congénitas por citomegalovirus","Universidad Autónoma de San Luis Potosí","María Esther Jiménez Cataño",2,"Enfermedades Infecciosas y Parasitarias"
"Análisis de la expresión genética y su correlación funcional en diferentes poblaciones de células mononuleares de pacientes con tuberculosis latente y activa.","Instituto Nacional de Enfermedades Respiratorias","Joaquin Alejandro Zúñiga Ramos",2,"Enfermedades Infecciosas y Parasitarias"
"EFECTO DE DOS NUEVOS PÉPTIDOS ANTINEOPLÁSICOS EN LÍNEAS CELULARES DE GLIOBLASTOMA","Instituto Mexicano del Seguro Social","Carolina Barrientos Salcedo",1,"Neoplasias Malignas"
"Evaluación del efecto condroprotector del menisco de bioingenería en un modelo ovino de osteoartritis.","Instituto Nacional de Rehabilitación","Carlos Javier Pineda Villaseñor",2,"Enfermedades crónicas o degenerativas"
"ESTUDIO COMPARATIVO DE LA AMPLITUD DEL COMPONENTE N1/P2 DEL POTENCIAL AUDITIVO EVOCADO Y L-TRIPTÓFANO PLASMÁTICO LIBRE EN LOS PACIENTES POST- INFARTADOS DEL MIOCARDIO CON Y SIN DEPRESIÓN","Instituto Mexicano del Seguro Social","Gabriel Manjarréz Gutiérrez",2,"Desarrollo y Evaluación de Tecnologías para la Salud"
"EVALUACIÓN DE LA LATENCIA AL ESTIMULO VISUAL, AUDITIVO Y SOMATOSENSORIAL EN PACIENTES BRADICINÉTICOS CON ENFERMEDAD DE PARKINSON SOMETIDOS A PALIDOTOMIA UNILATERAL","Hospital General de México","Fiacro Jiménez Ponce",2,"Trastornos Psiquiátricos o Neurológicos"
"CARACTERIZACION CLINICO MOLECULAR DE PADECIMIENTOS GENODERMATOLOGICOS EN POBLACION MEXICANA","Hospital General de México","Sergio Alberto Cuevas Covarrubias",2,"Salud Reproductiva y Perinatal"
"Transplante de células autólogas para la regeneración de cartílago articular, como alternativa para reducir el costo de la atención de las osteoartritis. Ensayo clínico controlado.","Instituto Nacional de Rehabilitación","Jose Clemente Ibarra Ponce de León",1,"Desarrollo y Evaluación de Tecnologías para la Salud"
"DETERMINACIÓN DE UN PERFIL DE EXPRESIÓN GENÉTICA ASOCIADO CON EL DESARROLLO DE METÁSTASIS A SISTEMA NERVIOSO CENTRAL EN PACIENTES CON CÁNCER DE PULMÓN DE CÉLULAS NO PEQUEÑAS","Instituto Nacional de Cancerología","Elena Arechaga Ocampo",1,"Neoplasias Malignas"
"EPIDEMIOLOGIA MOLECULAR DEL VIRUS DEL DENGUE EN EL NORTE DE TAMAULIPAS: PREVALENCIA DE SEROTIPOS Y ESTUDIO DE POLIMORFISMOS GENÉTICOS EN LOS PACIENTES","Universidad Autónoma de Tamaulipas","Anabel Bocanegra Alonso",1,"Enfermedades Infecciosas y Parasitarias"
"Asociación de haplotipos de IL-10 con la producción de autoanticuerpos en pacientes con lupus eritematoso generalizado y síndrome de Sjögren primario","Universidad de Guadalajara","Claudia Azucena Palafox Sánchez",1,"Enfermedades crónicas o degenerativas"
"TRATAMIENTO DE PRIMERA LÍNEA CON QUIMIOTERAPIA A BASE DE CISPLATINO MÁS PACLITAXEL COMBINADO CON ALL-TRANS ÁCIDO RETINOICO EN PACIENTES CON CÁNCER DE PULMÓN AVANZADO: ESTUDIO FASE","Instituto Nacional de Cancerología","Oscar Gerardo Arrieta Rodríguez",2,"Neoplasias Malignas"
"PERFILES DE EXPRESIÓN GENÉTICA EN CÁNCER DE PULMÓN ASOCIADO CON EXPOSICIÓN AL HUMO DE LEÑA Y TABAQUISMO: IMPLICACIONES TERAPÉUTICAS.","Instituto Nacional de Cancerología","Elena Arechaga Ocampo",1,"Neoplasias Malignas"
"Desarrollo de un modelo experimental fetal para el recubrimiento intrauterino de defectos abiertos de tubo neural.","Instituto Nacional de Perinatología","Edgar Armando Hernández Andrade",2,"Salud Reproductiva y Perinatal"
"Análisis proteómico y funcional del fluido ascítico proveniente de carcinomas ováricos y su asociación con la enfermedad peritoneal metastásica.","Centro de Investigación y de Estudios Avanzados del IPN","Patricia Talamas Rohana",2,"Neoplasias Malignas"
"Caracterización  de las diferentes etapas en el desarrollo neurológico funcional y morfológico fetal.","Instituto Nacional de Perinatología","Edgar Armando Hernández Andrade",2,"Salud Reproductiva y Perinatal"
"Factores de riesgo relacionados con neumonía nosocomial en pacientes operados de cirugía cardiaca que ingresan a las unidades de cuidados intensivos del Centro Médico Nacional ¿20 de Noviembre¿","Centro Médico Nacional 20 de Noviembre","Elvia Esther Espino Barros Morales",,"Enfermedades Infecciosas y Parasitarias"
"Marcadores inmunológicos asociados con la gravedad de la infección por el virus de la influenza A H1N1","Universidad Autónoma de Nuevo León","Adrian Geovanni Rosas Taraco",1,Influenza
"Influenza aviar e influenza porcina como riesgo sanitario en la generación de virus pandémicos.","Universidad Nacional Autónoma de México","Socorro Magdalena Escorcia Martínez",,Influenza
"Caracterización molecular de cepas atípicas del virus de la influenza A H1N1","Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado","Juan Antonio González Barrios",1,Influenza
"Determinación de elementos tóxicos séricos y su posible asociación a factores de riesgo ambiental en pacientes con neumonía provocada por el virus de la influenza A/H1N1 en la ciudad de México","Instituto Nacional de Enfermedades Respiratorias","Luz Mireya Moya Núñez",1,Influenza
"Implementación de tecnología para la producción de  una vacuna recombinante contra el virus de la influenza humana H1N1 basada en el sistema células de insecto-baculovirus","Universidad Nacional Autónoma de México","Octavio Tonatiuh Ramírez Reivich",3,Influenza
"Desarrollo de vacuna recombinante para la prevención y control de la Influenza Humana A/H1N1","Laboratorios Silanes","María Teresa Mata González",Candidato,Influenza
"Complicaciones Neurológicas Asociadas con el Virus de la Influenza A (H1N1) en la Población Mexicana.","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","María Alejandra González Duarte Briseño",1,Influenza
"Estudio de la respuesta inmune pulmonar. Marcadores inmunológicos  de gravedad  en pacientes con  Neumonia por Influenza H1N1 2009","Instituto Nacional de Enfermedades Respiratorias","Eduardo Sada Díaz",2,Influenza
"Mecanismos Patogénicos de Falla Renal Aguda en Pacientes Graves por Influenza  A H1N1","Instituto Nacional de Enfermedades Respiratorias","Magally Arcos Zamora",,Influenza
"Caracterización de variantes genéticas asociadas al riesgo y/o grado de severidad de la influenza A H1N1 por parte de los genes relacionados al procesamiento y presentación de antígenos virales.","Instituto Nacional de Enfermedades Respiratorias","Ramces Falfán Valencia",1,Influenza
"Epidemiología del virus de la influenza y otros virus respiratorios en granjas de producción porcina en México.","Universidad Nacional Autónoma de México","Humberto Ramírez Mendoza",1,Influenza
"VIGILANCIA EPIDEMIOLÓGICA DEL VIRUS DE LA INFLUENZA AH1N1 EN AVES RESIDENTES Y MIGRATORIAS DEL NORESTE DE MÉXICO.","Universidad Autónoma de Nuevo León","Jose Ignacio González Rojas",1,Influenza
"CONSECUENCIAS EN LA FUNCION PULMONAR Y CALIDAD DE VIDA EN PACIENTES QUE TUVIERON UNA NEUMONIA GRAVE POR INFLUENZA A (H1N1). UN ESTUDIO LONGITUDINAL","Instituto Nacional de Enfermedades Respiratorias","Alejandra Ramírez Venegas",1,Influenza
"EVALUACION DE COMPUESTOS OBTENIDOS DE LA FLORA NATIVA DE LA REGIÓN SUR-SURESTE DE MÉXICO CON POTENCIAL ACTIVIDAD ANTIVIRAL CONTRA EL VIRUS DE INFLUENZA AH1N1","Centro de Investigación Científica de Yucatán","Rocío de Lourdes Borges Argáez",1,Influenza
"SERO-PREVALENCIA DE INFECCIÓN POR EL VIRUS PANDÉMICO DE LA INFLUENZA A (H1N1) EN TRABAJADORES DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL DURANTE EL PERÍODO FEBRERO -DICIEMBRE 2009","Instituto Mexicano del Seguro Social","Guadalupe Aguilar Madrid",1,Influenza
"ANÁLISIS PROTEÓMICO Y DEL PERFIL DE CITOCINAS EN LÁGRIMA DE PACIENTES INFECTADOS CON INFLUENZA AH1N1 PANDÉMICA","Fundación de Asistencia Privada Conde de Valenciana","Victor Manuel Bautista De Lucio",Candidato,Influenza
"OPTIMIZACIÓN Y ESCALAMIENTO DE LOS PROCESOS BIOTECNOLÓGICO PARA LA PRODUCCIÓN DEL PRECURSOR SHIKIMATO Y QUÍMICO PARA LA TRANSFORMACIÓN DE ESTE COMPUESTO EN EL ANTIVIRAL OSELTAMIVIR","Universidad Nacional Autónoma de México","Francisco Gonzálo Bolivar Zapata",3,Influenza
"Detección e identificación de virus resistentes a oseltamivir para el fortalecimiento de la vigilancia del virus AH1N1 en Yucatán","Universidad Autónoma de Yucatán","Guadalupe Ayora Talavera",1,Influenza
"Caracterización de la diversidad genética de virus de influenza circulantes en_x000D_
humanos, cerdos y aves","Universidad Nacional Autónoma de México","Susana López Charreton",3,Influenza
"ESTUDIO MULTICÉNTRICO PARA LA DETECCIÓN DE ANTICUERPOS CONTRA EL NUEVO VIRUS DE INFLUENZA A  (H1N1)","Instituto Nacional de Enfermedades Respiratorias","María Eugenia Manjarréz Zavála",1,Influenza
"Análisis de los polimorfismos de genes HLA, IFNAR1 y  TLR, para el estudio de susceptibilidad al desarrollo de la influenza pandémica A (H1N1) en Nuevo León, incluyendo la identificación de patógenos bacterianos oportunistas causantes de neumonía.","Instituto Mexicano del Seguro Social","Beatriz Silva Ramírez",1,Influenza
