Campo1,TITULO DEL PROYECTO
2010,Expresión de micrornas y su relación con marcadores de maduración en células del sistema inmune de población expuesta a contaminantes ambientales
2003,Expresión diferencial de sialiltransferasas y ácido siálico en biopsias de cérvix con diferente grado de neoplasia y su uso potencial en un método diagnóstico pronóstico.
2008,EXPRESIÓN GENÉTICA DE METALOPROTEASAS DE MATRIZ EXTRACELULAR Y SUS INHIBIDORES COMO MARCADORES MOLECULARES EN ÚLCERA PÉPTICA Y CÁNCER GÁSTRICO
2009,Expresión inmunohistoquímica de distrofina en la biopsia de piel de pacientes con distrofinopatía (distrofia muscular de Duchenne / Becker)
2013,"Extracción, conservación e implante de membrana amniótica humana para la reconstrucción y tratamiento de diferentes patologías en la superficie ocular."
2003,Fabricacion de prototipos de vastago femoral para protesis total de cadera.
2013,Factores Ambientales de la Diabetes: Disruptores endócrinos ambientales y el Riesgo de Desarrollo de Diabetes y Enfermedad Cardiovascular en Mujeres Mexicanas del Estudio EsMaestras
2005,FACTORES AMBIENTALES Y SUSCEPTIBILIDAD GENÉTICA ASOCIADOS AL CÁNCER MAMARIO (CAMA) EN MÉXICO
2007,FACTORES ASOCIADOS A LA INCIDENCIA Y REVERSIÓN DE LA INFECCIÓN POR H. PYLORI EN ESCOLARES DE BAJO NIVEL ECONÓMICO EN LA CIUDAD DE MÉXICO.
2004,Factores asociados a los costos innecesarios en ingresos y estancias hospitalarias en personas de 60 años y más.
2007,FACTORES ASOCIADOS AL RETRASO EN LA ATENCIÓN MÉDICA DE MUJERES CON CÁNCER DE MAMA
2012,"Factores clínicos, bioquímicos, dosimétricos y funcionales respiratorios predictores de neumonitis por radioterapia en cáncer de pulmón localmente avanzado (etapas IIIa y IIIb) tratados con quimio y radioterapia"
2008,FACTORES DE RIESGO ASOCIADOS A LA ESCLEROSIS MÚLTIPLE EN MÉXICO: ESTUDIO MULTICÉNTRICO.
2002,"FACTORES DE RIESGO DE CÁNCER DE MAMA EN MÉXICO: PATRONES MAMOGRAFICOS, PEPTIDO C Y FACTORES DE CRECIMIENTO. UN ESTUDIO MULTICÉNTRICO"
2007,FACTORES DE RIESGO DEL HUÉSPED Y AMBIENTALES ASOCIADOS AL DESARROLLO DE FIBROSIS PULMONAR IDIOPÁTICA.
2010,Factores de riesgo para cáncer de prostata en hombres mexicanos
2003,Factores de riesgo para el desarrollo de espondilitis anquilosante en familiares con el gen de susceptibilidad HLA-B27 de pacientes con la enfermedad en familias de casos múlitples: seguimiento de casos y controles por cinco años
2003,"Factores de riesgo para la depresión en una muestra de pacientes del Hospital Psiquiátrico ""Yucatán"""
2009,Factores de riesgo relacionados con neumonía nosocomial en pacientes operados de cirugía cardiaca que ingresan a las unidades de cuidados intensivos del Centro Médico Nacional 20 de Noviembre
2004,Factores inmunológicos y virales asociados con la recurrencia post-tratamiento de pacientes con neoplasia intraepitelial cervical II-III.
2004,FACTORES SOCIODEMOGRÁFICOS Y DE ATENCIÓN COMO CONDICIÓN DE RIESGO PARA MUERTE MATERNA: UN ESTUDIO DE CASOS Y CONTROLES EN POBLACIÓN MARGINADA
2002,FARMACOCINÉTICA DE CEFEPIME EN NEONATOS CON INFECCIONES NOSOCOMIALES GRAVES
2012,Farmacogenética del transporte de metotrexato y su relación con las concentraciones del fármaco en pacientes pediátricos con diagnóstico de leucemia linfoblástica aguda
2011,FILTRADO CÉLULAR PARA LA SELECCIÓN DE ESPERMATOZOIDES NO APOPTÓTICOS DE PACIENTES CON INFERTILIDAD.
2009,Fitofármacos de plantas medicinales mexicanas: caracterización química y evaluación molecular del efecto antitumoral en líneas celulares de cáncer de mama
2007,FOMENTO Y FORTALECIMIENTO DEL BINOMIO MEDICINA BASADA EN EVIDENCIAS-MEDICINA BASADA EN VALORES EN EL INSTITUTO MEXICANO DEL SEGURO SOCIAL
2005,"FORMACIÓN, EMPLEO Y REGULACIÓNDE LOS RECURSOS HUMANOS PARA LA SALUD. BASES PARA SU PLANEACIÓN ESTRATÉGICA."
2008,"FORMULACIÓN DE VACUNA ANTIPOLIOMIELÍTICA ORAL MONOVALENTE TIPO 1, 2 Y 3."
2010,Frecuencia de consecuencias clínicas y pronóstico de la tuberculosis pulmonar en adultos mayores.
2007,FRECUENCIA DE GAMAPATÍAS MONOCLONALES EN INDIVIDUOS SANOS CON ANTECEDENTE FAMILIAR DE MIELOMA MÚLTIPLE
2008,FRECUENCIA DE GENOTIPOS SUSCEPTIBLES DEL GEN PARAOXONASA 1 EN PACIENTES YUCATECOS CON GLIOMA Y HETEROCIGOSIDAD DE LAS REGIONES CROMOSÓMICAS 1P36 Y 19Q13.
2012,Frecuencia de tuberculosis multifármacorresistente en pacientes del Occidente de México
2007,FRECUENCIA Y FACTORES RELACIONADOS CON EL SÍNDROME METABÓLICO EN PACIENTES PEDIÁTRICOS CON TRASPLANTE RENAL.
2003,"Frecuencia,factores de riesgo y diseminación de resistencia a fluoroquinolonas en bacterias causantes de infecciones nosocomiales y comunitarias en México:Caracterización molecular"
2004,Función pulmonar y actividad simpática cardiaca en embarazadas con obesidad. Un estudio longitudinal.
2013,Generación de células neurales a partir de células reprogramadas de pacientes con Alzheimer e investigación de cambios asociados con la enfermedad con fines de diagnostico.
2008,GENERACIÓN DE UNA NUEVA VACUNA CONTRA LA TUBERCULOSIS CON MAYOR POTENCIAL PROTECTOR PARA INDIVIDUOS SANOS E INMUNOCOMPROMETIDOS
2007,GENERACIÓN DE UNA VACUNA DE DNA DE TRYPANOSOMA CRUZI USADA EN LA INMUNIZACIÓN CANINA PARA LA PREVENCIÓN DE LA ENFERMEDAD DE CHAGAS Y SU CONTROL EN LA INFECCIÓN DEL HUMANO.
2005,GENÉTICA DE LA OBESIDAD EN LA INFANCIA Y ADOLESCENCIA
2011,Genoma del Cáncer de Páncreas
2009,GENOTIPIFICACIÓN DE BACTERIAS CAUSANTES DE SEPTICEMIA NEONATAL TEMPRANA MEDIANTE LA SUBUNIDAD 16 S rRNA
2012,Glicómica del cáncer cervicouterino y su aplicación en la identificación de biomarcadores para la detección temprana y pronóstico de la enfermedad
2008,GROSOR ÍNTIMA-MEDIA DE LA CARÓTIDA EN PACIENTES CON DIABETES TIPO 2 DIAGNOSTICADA ANTES DE LOS 40 AÑOS
2008,HACIA EL CONTROL DE LA RESPUESTA INFLAMATORIA ASOCIADA A LA NEUROCISTICERCOSIS
2009,HACIA EL USO DE GK1 COMO ADYUVANTE DE LA VACUNA ANTI-INFLUENZA PARA USO HUMANO Y VETERINARIO
2007,HAPLOTIPOS DEL GEN PADI4 EN PACIENTES CON ARTRITIS REUMATOIDE Y ASOCIACIÓN CON ANTICUERPOS ANTI-PÉPTIDO CITRULINADO CÍCLICO (ANTI-PCC)
2005,HARINA DE NOPAL COMO TRATAMIENTO PREVENTIVO EN OSTEOPOROSIS
2003,"HEMOCULTIVOS A TRAVES DEL CATETER , ES INFECCIÓN O COLONIZACIÓN?"
2013,Hidrocarburos aromáticos policíclicos como biomarcadores de riesgo de Cáncer mamario.
2012,Hipertensión postrasplante renal. Mecanismos y tratamiento.
2002,HISTORIA NATURAL DEL VIRUS DEL PAPILOMA HUMANO EN HOMBRES: UN ESTUDIO MULTICÉNTRICO NACIONAL.
2007,HORMONAS Y ANTIHORMONAS EN LA MORBIMORTALIDAD Y EL TRATAMIENTO DE LA CISTICERCOSIS EN HUMANOS Y EN MODELOS EXPERIMENTALES.
2003,HOSPITALIZACIONES EVITABLES POR CONDICIONES SENSIBLES A CUIDADO AMBULATORIO EN HOSPITALES GENERALES DE MÉXICO 2004
2006,IDENTIFICACIÓN A NIVEL MOLECULAR DE MICOBACTERIAS AISLADAS DE PACIENTES INMUNOCOMPETENTES E INMUNODEPRIMIDOS EN LA ZONA ORIENTE DE LA CD. DE MÉXICO.
2012,Identificación de aislados patógenos de Blastocystis sp productores de alteraciones gastrointestinales: estudio de casos y controles
2008,IDENTIFICACIÓN DE BIOMARCADORES ANTIANGIOGENICOS COMO REGULADORES DE LA MADURACIÓN CONDRAL Y SU POSIBLE PAPEL EN LA REPARACIÓN DEL CARTÍLAGO ARTICULAR
2011,Identificación de biomarcadores asociados a infecciones severas por virus sincicial respiratorio
2009,Identificación de biomarcadores asociados a la reactivación de citomegalovirus durante el embarazo y con el desarrollo de infecciones congénitas por citomegalovirus
2011,IDENTIFICACIÓN DE BIOMARCADORES ASOCIADOS A LESIONES GÁSTRICAS PREMALIGNAS Y DE TRANSFORMACIÓN A CÁNCER POR MEDIO DE ELECTROFORESIS BI-DIMENSIONAL Y ESPECTROMETRÍA DE MASAS (LC-MS).
2010,Identificación de biomarcadores de adenocarcinoma pulmonar en el proteoma de saliva
2010,IDENTIFICACIÓN DE BIOMARCADORES MOLECULARES EPIGENÉTICOS Y DE EXPRESIÓN ASOCIADOS AL DESARROLLO DE METÁSTASIS EN PACIENTES CON CÁNCER CÉRVICO-UTERINO. EMPLEO DE HERRAMIENTAS DE ANÁLISIS GENÓMICO BASADAS EN MICROARREGLOS.
2004,Identificación de casos de tuberculosis meníngea mediante un ensayo inmunoenzimático de captura con anticuerpos monoclonales contra la fracción 4MT de Mycobacterium tuberculosis
2008,IDENTIFICACIÓN DE DETERMINANTES QNR EN AISLAMIENTOS CLÍNICOS DE ENTEROBACTERIAS PRODUCTORES DE BETA-LACTAMASAS DE ESPECTRO EXTENDIDO (BLEE) EN MÉXICO
2005,IDENTIFICACIÓN DE FACTORES DE RIESGO DEL HUÉSPED EL AGENTE Y EL AMBIENTE PARA EL DESARROLLO DE TUBERCULOSIS PRIMARIA. UN ENFOQUE INTEGRADOR Y MULTIDISCIPLINARIO.
2005,IDENTIFICACIÓN DE FACTORES DE RIESGO EN EL PACIENTE CON CÁNCER QUE PREDISPONEN AL DESARROLLO DEL SÍNDROME METABÓLICO.
2009,IDENTIFICACIÓN DE FACTORES DE SUSCEPTIBILIDAD GENÓMICA PARA EL DESARROLLO DE LA OBESIDAD Y RASGOS METABÓLICOS RELACIONADOS
2008,IDENTIFICACIÓN DE FACTORES GENÉTICOS MATERNOS Y FETALES EN NACIMIENTO DE PRETÉRMINO
2012,"Identificación de factores pronosticos en el desarrollo, de Esclerosis Múltiple"
2009,IDENTIFICACIÓN DE GENES BLANCO PARA EL MICRORNA MIR21 EN CÉLULAS CERVICALES TUMORALES HUMANAS TRANSFORMADAS CON HPV
2010,IDENTIFICACIÓN DE GENES DE RIESGO PARA LA DIABETES GESTACIONAL UTILIZANDO MAPEO POR ADMIXTURE Y ANÁLISIS DE EXPRESIÓN GÉNICA GLOBAL EN PLACENTA Y TEJIDO ADIPOSO
2007,IDENTIFICACIÓN DE GLICOCONJUGADOS DE LA LECHE HUMANA COMO CANDIDATOS A MICROBICIDAS PARA PREVENIR LA INFECCIÓN POR EL VIRUS DE INMUNODEFICIENCIA HUMANA (VIH).
2011,Identificación de inhibidores de la enzima PDI humana con potencial de bloquear sus actividades oxidorreductora y chaperona
2004,Identificación de la presencia de factores circulantes asociada al desarrollo de insuficiencia renal crónica o a recidiva en el injerto en pacientes mexicanos con síndrome nefrótico
2003,IDENTIFICACIÓN DE LA RESPUESTA INMUNE DE TIPO HUMORAL Y DE TIPO CÉLULAR A LA PRIMOINFECCIÓN POR MYCOBACTERIUM TUBERCULOSIS CON FINES DIAGNÓSTICOS EN CONTACTOS DE PACIENTES CON TUBERCULOSIS PULMONAR.
2012,IDENTIFICACIÓN DE LAS BASES MOLECULARES Y DE LA FRECUENCIA DE HETEROCIGOTOS PARA UNA FORMA AUTOSÓMICA RECESIVA DE DISTROFIA MUSCULAR EN UNA POBLACIÓN ENDOGÁMICA DEL ESTADO DE TLAXCALA.
2005,IDENTIFICACIÓN DE LAS CAUSAS MÁS FRECUENTES DE FALLA OVÁRICA PREMATURA EN MUJERES MEXICANAS CON INFERTILIDAD
2004,"""Identificacion de los cambios quimicos de las proteinas del glicocalix intraluminal del endotelio vascular que son inducidos por estimulos nocivos asociados con el ciclo isquemia-reperfusion de los organos(riñon,corazon etc):Su prevencion durante Trans"
2005,IDENTIFICACIÓN DE LOS FACTORES DE RIESGO GENÉTICO PARA DESARROLLAR ARTRITIS IDIOPÁTICA JUVENIL EN POBLACIÓN MEXICANA.
2009,IDENTIFICACIÓN DE LOS FACTORES DE RIESGO VASCULAR ASOCIADOS CON EL RÁPIDO DETERIORO COGNITIVO EN PACIENTES CON ALZHEIMER
2004,Identificación de los factores genéticos implicados en la susceptibilidad para desarrollar Lupus Eritematoso Sistémico en la edad pediátrica.
2008,"IDENTIFICACIÓN DE LOS PERFILES DE EXPRESIÓN GENÓMICA ASOCIADOS CON LA RESPUESTA A LA VENTANA DE ESTEROIDES Y AL TRATAMIENTO DE INDUCCIÓN A LA REMISIÓN EN BLASTOS LINFOIDES DE NIÑOS CON LEUCEMIA AGUDA LINFOBLÁSTICA, UTILIZANDO MICROARREGLOS DE EXPRE"
2008,IDENTIFICACIÓN DE MARCADORES GENÉTICOS ASOCIADOS AL DESARROLLO Y PROGRESIÓN DE ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA MEDIANTE ANÁLISIS DE GENOTIPIFICACIÓN.
2012,IDENTIFICACIÓN DE MARCADORES GENÉTICOS DE LA PATOGÉNESIS DEL DENGUE MEDIANTE EL ANÁLISIS DE LA EXPRESIÓN DIFERENCIAL DE GENES EN CULTIVOS PRIMARIOS DE LINFOCITOS T HUMANOS.
2009,IDENTIFICACIÓN DE MARCADORES MOLECULARES PRONÓSTICOS EN TUMORES CEREBRALES DE PACIENTES PEDIÁTRICOS UTILIZANDO MICROARREGLOS DE ALTA DENSIDAD.
2007,IDENTIFICACIÓN DE MARCADORES MOLECULARES COMO FACTORES DE RIESGO PARA LA TRANSFORMACIÓN INDUCIDA POR VIRUS EPSTEIN BARR DE PACIENTES CON LINFOMA
2009,Identificación de marcadores moleculares de tipo proteico para el desarrollo de un kit de diagnóstico y pronóstico del cáncer de mama en mujeres mexicanas
2005,IDENTIFICACIÓN DE MECANISMOS UTILIZADOS POR MACRÓFAGOS PARA MATAR INTRACÉLULARMENTE A MYCOBACTERIUM TUBERCULOSIS
2011,Identificación de microRNA-326 como un marcador genético útil para evaluar la severidad de la tuberculosis en población mexicana y su asociación con el biomarcador de inflamación Th17.
2009,Identificación de micrornas circulantes en suero como biomarcadores potenciales en el diagnóstico de osteoartritis
2007,IDENTIFICACIÓN DE NUEVOS GENES CAUSALES DE ATAXIA ESPINOCEREBELOSA
2009,"Identificación de parásitos intestinales emergentes, como causa de diarrea aguda en pacientes con VIH y cáncer mediante PCR múltiple."
2013,IDENTIFICACIÓN DE PATRONES DE RIESGO GENÉTICO-AMBIENTAL ASOCIADOS AL MIELOMENINGOCELE EN FAMILIAS MEXICANAS MESTIZAS
2010,Identificación de Perfiles de expresión de micro-RNAs para la predicción del riesgo de Pre-eclampsia
2011,IDENTIFICACIÓN DE POLIMORFISMOS DE NAT2 COMO MARCADORES GENÉTICOS Y SU ASOCIACIÓN CON LA FARMACOCINÉTICA DE ISONIACIDA Y SU METABOLITO. HACIA UNA ESTRATEGIA PARA LA INDIVIDUALIZACIÓN DE LA TERAPIA ANTIFÍMICA EN PACIENTES CON TUBERCULOSIS.
2007,IDENTIFICACIÓN DE POLIMORFISMOS GENÉTICOS DE CD24 ASOCIADOS A LA DISFUNCIÓN NEUROLÓGICA PRESENTE EN PACIENTES CON ESCLEROSIS MÚLTIPLE
2008,IDENTIFICACIÓN DE POSIBLES BIOMARCADORES EN ENFERMEDAD RENAL CRÓNICA: ANÁLISIS PROTEÓMICO.
2009,IDENTIFICACIÓN DE RECEPTORES DE TRASPLANTE RENAL CON PERFIL GENÉTICO DE TOLERANCIA OPERACIONAL.
2011,Identificación de secuencias para optimizar la expresión de moléculas exógenas inhibidoras de la replicación del Virus Dengue en el vector Aedes aegypti
2009,Identificación de un elemento regulador común para la expresión de los genes KiSS1 y REN en placentas de mujeres con Preeclampsia-eclampsia comparado con placentas de mujeres con embarazo normo-evolutivo
2008,IDENTIFICACIÓN DE UN MODELO DE ATENCIÓN A LA SALUD PARA ADULTOS MAYORES EN ZONAS INDÍGENAS
2008,"IDENTIFICACIÓN DE UN PANEL DE PROTEÍNAS DE MYCOBACTERIUM TUBERCULOSIS PARA EL DESARROLLO DE UNA PRUEBA SEROLÓGICA DE DIAGNÓSTICO PREDICTIVO DE SENSIBILIZACIÓN, INFECCIÓN LATENTE Y TUBERCULOSIS PULMONAR ACTIVA"
2009,Identificación de Variantes Genéticas que Confieren Susceptibilidad a la Enfermedad Arterial Coronaria en Población Mexicana
2010,IDENTIFICACIÓN DEL NÚMERO VARIABLE DE COPIAS (CNVs) EN PACIENTES CON CARDIOPATÍAS CONGÉNITAS CONOTRUNCALES AISLADAS Y ASOCIADAS A OTRAS MALFORMACIÓNES
2003,Identificación del virus de varicela zoster en células mononucleares de pacientes con Esclerosis Múltiple
2010,Identificación molecular y caracterización genotípica de Mycobacterium bovis en aislados de ganado bovino y en casos de tuberculosis humana
2012,Identificación y aislamiento de compuestos con actividad inhibitoria sobre la replicación del virus de dengue a partir de plantas medicinales endémicas de México
2010,Identificación y Análisis de las variantes genéticas del Virus del Dengue y su asociación con la dinámica de la transmisión de dengue en áreas endémicas
2012,Identificación y análisis funcional de variantes polimórficas en la secuencia codificante del gen MECP2 en pacientes obesos con riesgo de trastorno alimentario.
2008,IDENTIFICACIÓN Y CARACTERIZACIÓN DE BIOMARCADORES DE RASGO EN CÉLULAS AISLADAS DEL NEUROEPITELIO OLFATORIO DE PACIENTES CON DIAGNÓSTICO DE ESQUIZOFRENIA Y TRASTORNO BIPOLAR
2010,Identificación y caracterización de las modificaciones de la percepción de colores sustentadas en las respuestas pupilares mediante video-oculografía de alta velocidad en sujetos con edema macular
2008,IDENTIFICACIÓN Y CARACTERIZACIÓN MOLECULAR DE LA INFECCIÓN ACTIVA POR CITOMEGALOVIRUS EN RECIÉN NACIDOS PREMATUROS
2007,IDENTIFICACIÓN Y OBTENCIÓN DE MARCADORES MOLECULARES PARA EL CÁNCER CÉRVICO UTERINO
2009,Identificación y selección de micrornas en suero que permiten el diagnóstico y clasificación del Cáncer de Cervix
2005,IMAGENOLOGIA DEL CEREBRO USANDO LASERES DE TERAHERTZ
2012,Impacto cognitivo de la epilepsia del lóbulo temporal y su relación con las anormalidades de la conectividad y función del lóbulo temporal
2008,IMPACTO DE LA DEFICIENCIA DE MICRONUTRIMENTOS EN LA PREVALENCIA DE MORBILIDAD Y DESARROLLO NEURCOGNITIVO DE NIÑOS CON SOBREPESO Y OBESIDAD
2013,Impacto de la implementación de las guías de manejo y control de antibióticos en la morbi-mortalidad y costos asociados a la neumonía adquirida en la comunidad en adultos mayores de 50 años que requieren hospitalización
2004,IMPACTO DE LA RESTRICCIÓN DEL USO DE CEFALOSPORINAS DE TERCERA GENERACIÓN EN LA FRECUENCIA DE ENTEROBACTERIAS PRODUCTORAS DE BETA-LACTAMASAS DE ESPECTRO EXTENDIDO (BLEES).
2008,IMPACTO DE LA SUPLEMENTACIÓN CON ÁCIDOS GRASOS OMEGA-3 SOBRE LA SALUD RESPIRATORIA Y FUNCIÓN PULMONAR INFANTIL: UN ENSAYO CLÍNICO ALEATORIZADO
2011,Impacto de la utilización de ácidos grasos poli insaturados de cadena larga omega-3 en la pérdida de peso y resistencia a la insulina de adolescentes obesos
2004,Impacto de las estrategias nutricional educativa y farmacologica en el paciente con diabetes mellitus tipo 2 y nefropatía diabetica en unidades del primer nivel de atención del IMSS
2009,Impacto de las exacerbaciones infecciosas por Influenza AH1N1 sobre la polarización Th17 y la función pulmonar en pacientes con EPOC
2005,IMPACTO DE LOS PUENTES PEATONALES EN LA PREVENCIÓN DE ATROPELLAMIENTOS
2005,IMPACTO DE OPORTUNIDADES EN LOS PATRONES DE UTILIZACIÓN DE SERVICIOS DE SALUD DE LOS HOGARES BENEFICIARIOS EN ÁREAS RURALES
2007,IMPACTO DE POLÍTICAS PÚBLICAS EN CONTRA DE TABAQUISMO EN UNA COHORTE DE FUMADORES ADULTOS MEXICANOS
2009,Impacto de un programa de entrenamiento físico en calidad de vida y seguridad en pacientes con cirrosis e hipertensión portal
2009,Impacto del síndrome metabólico en la génesis y progresión de la osteoartritis (OA) de rodillas en adultos jóvenes. Un estudio en la Población Mexicana.
2005,IMPACTO ECONÓMICO DE LAS LESIONES POR ACCIDENTE DE TRÁFICO EN EL SISTEMA DE SALUD.
2002,IMPACTO ECONÓMICO EN EL SECTOR SALUD DE LAS ENFERMEDADES ASOCIADAS AL CONSUMO DE TABACO
2008,IMPACTO PRONÓSTICO Y TERAPÉUTICO DE LA DETECCIÓN DE CÉLULAS TUMORALES CIRCULANTES EN SANGRE PERIFÉRICA DE PACIENTES CON CÁNCER DE PULMÓN DE CÉLULAS NO PEQUEÑAS (CPCNP) LOCALMENTE AVANZADO.
2003,IMPLANTACIÓN DE UN SISTEMA DE VIGILANCIA ALIMENTARIA Y NUTRICIONAL(SISVAN) EN LAS GUARDERÍAS DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL
2003,Implantación y evaluación de una intervención contra el tabaquismo en secundarias de 10 estados de México
2013,Implantes de homo-injertos valvulares para enfermedades cardiovasculares
2008,IMPLEMENTACIÓN DE METODOLOGÍAS SEROLÓGICAS Y MOLECULARES PARA LA DETECCIÓN INTEGRAL DE INFECCIONES POR HERPESVIRUS.
2009,Implementación de tecnología para la producción de una vacuna recombinante contra el virus de la influenza humana H1N1 basada en el sistema células de insecto-baculovirus
2011,Implementación de un modelo intercultural de atención a la salud para adultos mayores tarahumaras
2008,IMPLEMENTACIÓN DE UN TAMIZ NEONATAL PARA LA DETECCIÓN OPORTUNA DE LA INMUNODEFICIENCIA COMBINADA SEVERA EN NIÑOS MEXICANOS
2007,IMPLEMENTACIÓN DE UNA PLATAFORMA TECNOLÓGICA PARA LA PRODUCCIÓN DE VACUNAS POR EL SISTEMA CÉLULAS DE INSECTO-BACULOVIRUS: DESARROLLO DE UNA NUEVA VACUNA CONTRA ROTAVIRUS
2013,Implementación del programa de planificación familiar: Un análisis de gobernanza desde el enfoque de redes sociales
2009,IMPLEMENTACIÓN Y EVALUACIÓN DE UNA PRUEBA SEROLÓGICA DIAGNÓSTICA DE INFECCIÓN POR EL VIRUS DE LA INFLUENZA AH1N1 S-OIV 2009
2004,Implicación del estrés oxidativo en el proceso de isquemia-reperfusión en pacientes con trasplante hepático y precondicionamiento isquémico.
2011,IMPLICACIONES DE LAS VARIACIONES EN EL NÚMERO DE COPIAS DE GENES TLRs EN LA SUSCEPTIBILIDAD Y GRAVEDAD DEL ASMA
2006,IMPORTANCIA DE LOS ANTECEDENTES FAMILIARES DE DIABETES MELLITUS TIPO 2 EN LA DISFUNCIÓN DE LA CÉLULA ENDOTELIAL. EVALUACIÓN DEL METABOLISMO DE LA GLUCOSA Y SU RELACIÓN CON LA SÍNTESIS DE ÓXIDO NÍTRICO Y EL ESTRÉS OXIDATIVO EN LA CÉLULA ENDOTELIAL
2007,"IMPORTANCIA DE LOS POLIMORFISMOS EN CTLA-4, CD28 Y PTPN22 COMO MARCADORES DE SUSCEPTIBILIDAD EN ARTRITIS REUMATOIDE. ASOCIACIÓN CON ANTICUERPOS ANTI-CCP, FACTOR REUMATOIDE Y ACTIVIDAD CLÍNICA."
2004,INDICADORES HEMATOLÓGICOS EN TRABAJADORES EXPUESTOS OCUPACIONALMENTE A BENCENO-TOLUENO-XILENO (BTX)
2009,Indice de masa corporal y marcadores genéticos como factores de riesgo para osteoporosis en mujeres yucatecas
2010,Infección peridomiciliaria como determinante de la transmisión del dengue.
2009,Infección por Trypanosoma cruzi e incidencia de miocardiopatía por Chagas
2007,"INFECCIÓN, INFLAMACIÓN Y CÁNCER; ESTUDIO PARA EL DESARROLLO DE PRUEBAS DIAGNÓSTICAS Y LA IDENTIFICACIÓN DE BIOMARCADORES DE RIESGO, PRONÓSTICO Y PREVENCIÓN."
2011,INFLUENCIA DE CYP2D6 EN LA GENOTOXICIDAD INDUCIDA POR LAS ANFETAMINAS
2004,Influencia de la vacunación con Mycobacterium bovis BCG sobre la respuesta de anticuerpos y citocinas en lactantes
2010,INFLUENCIA DE LAS COMPLICACIONES SENSORIALES DE LA DIABETES MELLITUS TIPO 2 Y DE LA OBESIDAD EN LA OCURRENCIA DE CAIDA Y EN LA ESTABILIDAD CORPORAL
2007,INFLUENCIA DE LOS HAPLOTIPOS -T31C Y -C511T EN EL PROMOTOR DEL GEN DE IL-1BETA Y DE LA EXPANSIÓN -2600(CCTTT)N EN EL PROMOTOR DEL GEN DE INOS-A EN EL DESARROLLO DE PARÁLISIS CEREBRAL INFANTIL SECUNDARIA A HIPOXIA/ISQUEMIA PERINATAL
2003,INFLUENCIA DE LOS PARES Y CONSUMO DE TABACO EN EL ÁMBITO ESCOLAR: ANÁLISIS MULTINIVEL EN UN ESTUDIO DE COHORTE
2004,Influencia de polimorfismos genéticos de apolipoproteínas y enzimas del metabolismo de lipoproteínas sobre la respuesta a un tratamiento dietario en sujetos con hipercolesterolemia moderada.
2009,Influenza aviar e influenza porcina como riesgo sanitario en la generación de virus pandémicos.
2009,INGENIERÍA DE TEJIDOS Y MEDICINA REGENERATIVA PARA EL DESARROLLO Y TRASPLANTE DE PABELLÓN AURICULAR
2006,INGENIERÍA TISULAR PARA LA FORMACIÓN DE HUESO ÚTIL PARA AUTOTRANSPLANTE
