Proyecto,Institucion,Colaborador,Nivel,Inst Colaborador,Especialidad
Epidemiología molecular de la Tuberculosis Pulmonar en el Área Metropolitana de Monterrey.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Rebeca Palacios Corona,Candidato,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",INMUNOLOGÍA Y BIOLOGÍA CELULAR
Epidemiología molecular de la Tuberculosis Pulmonar en el Área Metropolitana de Monterrey.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Gloria Maria Molina Salinas,,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Química en productos naturales
Epidemiología molecular de las cepas de rotavirus circulantes en México,Centro Nacional De Vigilancia Epidemiológica y Control De Enfermedades,Martín Melo Munguía,,Instituto Nacional de Diagnóstico y Referencia Epidemiológica,BIOLOGÍA MOLECULAR
Epidemiología molecular de las cepas de rotavirus circulantes en México,Centro Nacional De Vigilancia Epidemiológica y Control De Enfermedades,Benita Díaz De Jesús,,Instituto Nacional de Diagnóstico y Referencia Epidemiológica,BIOLOGÍA MOLECULAR
Epidemiología molecular de las cepas de rotavirus circulantes en México,Centro Nacional De Vigilancia Epidemiológica y Control De Enfermedades,Claudia Elena Wong Arambula,,Instituto Nacional de Diagnóstico y Referencia Epidemiológica,BIOLOGÍA MOLECULAR
Epidemiología molecular de las cepas de rotavirus circulantes en México,Centro Nacional De Vigilancia Epidemiológica y Control De Enfermedades,José Carmen Gudiéo Rosales,,Instituto Nacional de Diagnóstico y Referencia Epidemiológica,BIOLOGÍA MOLECULAR
Epidemiología molecular de las cepas de rotavirus circulantes en México,Centro Nacional De Vigilancia Epidemiológica y Control De Enfermedades,María Dolores Tellez Saucedo,,Instituto Nacional de Diagnóstico y Referencia Epidemiológica,BIOLOGÍA MOLECULAR
ANÁLISIS DE LA IMPORTANCIA EPIDEMIOLÓGICA COMPARATIVA DE LOS TRES GENOTIPOS DE TRIATOMA DIMIDIATA EN LA TRANSMISIÓN DE LA ENFERMEDAD DE CHAGAS EN EL SUR DE MÉXICO.,Instituto Nacional De Salud Pública,ELSA MARIA TAMAYO LEGORRETA,Nivel 1,Instituto Nacional De Salúd Pública,BIOLOGÍA MOLECULAR / PARASITOLOGÍA
Epidemiología molecular de las cepas de rotavirus circulantes en México,Centro Nacional De Vigilancia Epidemiológica y Control De Enfermedades,Luis Anaya López,,DIRECCIÓN GENERAL DE EPIDEMIOLOGÍA,Epidemiología
Epidemiología molecular de las cepas de rotavirus circulantes en México,Centro Nacional De Vigilancia Epidemiológica y Control De Enfermedades,Héctor Méndez Ramírez,,Instituto Nacional de Diagnóstico y Referencia Epidemiológica,VOLUMETRIA
Epidemiología Molecular de S. aureus Resistente a Meticilina Adquirido en Hospitales y en la Comunidad.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Kristina Hulten,,Laboratorio de Enfermedades Infecciosas. Texas Children's Hospital,BIOLOGÍA MOLECULAR
Epidemiología Molecular de S. aureus Resistente a Meticilina Adquirido en Hospitales y en la Comunidad.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Juan Carlos Tinoco Favila,,Servicios De Salud De Durango,Infectología
Epidemiología Molecular de S. aureus Resistente a Meticilina Adquirido en Hospitales y en la Comunidad.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Ma Elisa García Gaytan,,Dif Morelos,Infectología Pediátrica
Epidemiología Molecular de S. aureus Resistente a Meticilina Adquirido en Hospitales y en la Comunidad.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Miguel Cashat Cruz,,Hospital Infantil De México Federico Gómez,Infectología Pediátrica
Epidemiología Molecular de S. aureus Resistente a Meticilina Adquirido en Hospitales y en la Comunidad.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Angel Rito León Ramírez,,Hospital Pediátrico de Sinaloa,Infectología Pediátrica
Epidemiología Molecular de S. aureus Resistente a Meticilina Adquirido en Hospitales y en la Comunidad.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Gerardo Martínez Aguilar,,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Infectología Pediátrica
Epidemiología Molecular de S. aureus Resistente a Meticilina Adquirido en Hospitales y en la Comunidad.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Celia Mercedes Alpuche Aranda,Nivel 1,"Universidad Nacional Autónoma De México, UNAM",Infectología Pediátrica
Epidemiología Molecular de S. aureus Resistente a Meticilina Adquirido en Hospitales y en la Comunidad.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Eduardo Llausas Magaña,,Secretaría de Salud del Estado de Sinaloa,Infectología y Microbiología
ANÁLISIS DE LA IMPORTANCIA EPIDEMIOLÓGICA COMPARATIVA DE LOS TRES GENOTIPOS DE TRIATOMA DIMIDIATA EN LA TRANSMISIÓN DE LA ENFERMEDAD DE CHAGAS EN EL SUR DE MÉXICO.,Instituto Nacional De Salud Pública,ANA LUCIA CARBAJAL,,FIOCRUZ,ENTOMOLOGIA MEDICA
Epidemiología Molecular de S. aureus Resistente a Meticilina Adquirido en Hospitales y en la Comunidad.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Domingo Sánchez Francia,,Dif Morelos,QUÍMICA
"Epidemiología molecular, vigilancia de farmacorresistencia y evolución del virus de inmunodeficiencia humana en la Región Mesoamericana.",Instituto Nacional de Enfermedades Respiratorias,JOSÉ HUMBERTO VALENZUELA PONCE,,,"Inmunogenética, HLA, VIH"
"Epidemiología molecular, vigilancia de farmacorresistencia y evolución del virus de inmunodeficiencia humana en la Región Mesoamericana.",Instituto Nacional de Enfermedades Respiratorias,SANTIAGO AVILA RIOS,Candidato,,Virus de Inmunodeficiencia Humana VIH SIDA
"Epidemiología molecular, vigilancia de farmacorresistencia y evolución del virus de inmunodeficiencia humana en la Región Mesoamericana.",Instituto Nacional de Enfermedades Respiratorias,MARIBEL SOTO NAVA,,Instituto Nacional de Enfermedades Respiratorias,Virus de Inmunodeficiencia Humana VIH SIDA
"Epidemiología molecular, vigilancia de farmacorresistencia y evolución del virus de inmunodeficiencia humana en la Región Mesoamericana.",Instituto Nacional de Enfermedades Respiratorias,CLAUDIA GARCÍA MORALES,,Instituto Nacional de Enfermedades Respiratorias,Virus de Inmunodeficiencia Humana VIH SIDA
"Epidemiología molecular, vigilancia de farmacorresistencia y evolución del virus de inmunodeficiencia humana en la Región Mesoamericana.",Instituto Nacional de Enfermedades Respiratorias,GUSTAVO REYES TERÁN,Nivel 3,Instituto Nacional de Enfermedades Respiratorias,Virus de Inmunodeficiencia Humana VIH SIDA
ANÁLISIS DE LA IMPORTANCIA EPIDEMIOLÓGICA COMPARATIVA DE LOS TRES GENOTIPOS DE TRIATOMA DIMIDIATA EN LA TRANSMISIÓN DE LA ENFERMEDAD DE CHAGAS EN EL SUR DE MÉXICO.,Instituto Nacional De Salud Pública,NICOLAS JARAMILLO,,"UNIVERSIDAD DE ANTIOQUIA, MEDELLIN, COLOMBIA",ENTOMOLOGÍA MEDICA
ANÁLISIS DE LA IMPORTANCIA EPIDEMIOLÓGICA COMPARATIVA DE LOS TRES GENOTIPOS DE TRIATOMA DIMIDIATA EN LA TRANSMISIÓN DE LA ENFERMEDAD DE CHAGAS EN EL SUR DE MÉXICO.,Instituto Nacional De Salud Pública,TOWNSEND PETERSEN,,KANSAS UNIVERSITY,BIOLOGÍA EVOLUTIVA Y BIOGEOGRAFIA
EPIDEMIOLOGÍA MOLECULAR DEL VIRUS DEL DENGUE EN EL NORTE DE TAMAULIPAS: PREVALENCIA DE SEROTIPOS Y ESTUDIO DE POLIMORFISMOS GENÉTICOS EN LOS PACIENTES,Universidad Autónoma De Tamaulipas,Rocio Ortíz López,Nivel 2,Universidad Autónoma De Nuevo León,DIAGNÓSTICO MOLECULAR
EPIDEMIOLOGÍA MOLECULAR DEL VIRUS DEL DENGUE EN EL NORTE DE TAMAULIPAS: PREVALENCIA DE SEROTIPOS Y ESTUDIO DE POLIMORFISMOS GENÉTICOS EN LOS PACIENTES,Universidad Autónoma De Tamaulipas,Elvira Garza González,Nivel 1,Universidad Autónoma De Nuevo León,
EPIDEMIOLOGÍA MOLECULAR DEL VIRUS DEL DENGUE EN EL NORTE DE TAMAULIPAS: PREVALENCIA DE SEROTIPOS Y ESTUDIO DE POLIMORFISMOS GENÉTICOS EN LOS PACIENTES,Universidad Autónoma De Tamaulipas,GILDARDO RIVERA SÁNCHEZ,Candidato,UNIVERSIDAD AUTÓNOMA DE TAMAULIPAS,
Epilepsia y Toxocariasis: Seropositividad de Toxocara canis en pacientes pediátricos y la relación del parásito como causa de desorden neurológico.,Hospital Infantil De México Federico Gómez,ROSANA HUERTA ALBARRAN,,Hospital Infantil De México Federico Gómez,Neutología
ANÁLISIS DE LA IMPORTANCIA EPIDEMIOLÓGICA COMPARATIVA DE LOS TRES GENOTIPOS DE TRIATOMA DIMIDIATA EN LA TRANSMISIÓN DE LA ENFERMEDAD DE CHAGAS EN EL SUR DE MÉXICO.,Instituto Nacional De Salud Pública,FRANCISCO PANZERA ARBALLO,Nivel 2,Instituto Nacional De Salúd Pública,GENÉTICA
Epilepsia y Toxocariasis: Seropositividad de Toxocara canis en pacientes pediátricos y la relación del parásito como causa de desorden neurológico.,Hospital Infantil De México Federico Gómez,JUAN CALIXTO HERNÁNDEZ AGUILAR,,Hospital Infantil De México Federico Gómez,Pediatría y Neurología
Epilepsia y Toxocariasis: Seropositividad de Toxocara canis en pacientes pediátricos y la relación del parásito como causa de desorden neurológico.,Hospital Infantil De México Federico Gómez,Enedina Jiménez Cardoso,Nivel 2,Hospital Infantil De México Federico Gómez,BIOLOGÍA MOLECULAR de Parásitos
Epilepsia y Toxocariasis: Seropositividad de Toxocara canis en pacientes pediátricos y la relación del parásito como causa de desorden neurológico.,Hospital Infantil De México Federico Gómez,María de Lourdes Caballero García,,Hospital Infantil De México Federico Gómez,Inmunoparasitología
Epilepsia y Toxocariasis: Seropositividad de Toxocara canis en pacientes pediátricos y la relación del parásito como causa de desorden neurológico.,Hospital Infantil De México Federico Gómez,BENJAMIN NOGUEDA TORRES,Nivel 1,"Instituto Politécnico Nacional, I.P.N.",Parasitología
E-SALUD: APLICACIÓN DE LAS NUEVAS TECNOLOGÍAS DEL INTERNET Y LA INFORMÁTICA A UNA JURISDICCIÓN SANITARIA TIPO EN SAN LUIS POTOSI.,Servicios De Salud De San Luis Potosí,Marco Aurelio Gamba Aguilera,,Servicios de Salud de San Luis Potosi,Salud Publica
E-SALUD: APLICACIÓN DE LAS NUEVAS TECNOLOGÍAS DEL INTERNET Y LA INFORMÁTICA A UNA JURISDICCIÓN SANITARIA TIPO EN SAN LUIS POTOSI.,Servicios De Salud De San Luis Potosí,Miguel Angel Mejia Arias,,Secretaria de Salud,Mejoramiento y estandarización
ANÁLISIS DE LA IMPORTANCIA EPIDEMIOLÓGICA COMPARATIVA DE LOS TRES GENOTIPOS DE TRIATOMA DIMIDIATA EN LA TRANSMISIÓN DE LA ENFERMEDAD DE CHAGAS EN EL SUR DE MÉXICO.,Instituto Nacional De Salud Pública,CHRIS STEVENS,Nivel 3,"Universidad Nacional Autónoma De México, UNAM",FÍSICA ESTADÍSTICA
ESCANEO DE ALTA DENSIDAD PARA LA BÚSQUEDA DE MARCADORES GENÉTICOS ASOCIADOS A OBESIDAD INFANTIL,Instituto Mexicano del Seguro Social,JAIME HECTOR GOMEZ ZAMUDIO,,Instituto Mexicano del Seguro Social,
ESCANEO DE ALTA DENSIDAD PARA LA BÚSQUEDA DE MARCADORES GENÉTICOS ASOCIADOS A OBESIDAD INFANTIL,Instituto Mexicano del Seguro Social,ADAN VALLADARES SALGADO,Nivel 1,Instituto Mexicano del Seguro Social,
ESCANEO DE ALTA DENSIDAD PARA LA BÚSQUEDA DE MARCADORES GENÉTICOS ASOCIADOS A OBESIDAD INFANTIL,Instituto Mexicano del Seguro Social,ANA ISABEL BURGUETE GARCÍA,Nivel 1,Instituto Nacional De Salúd Pública,
ESCENARIOS DE INEQUIDAD AMBIENTAL Y EVALUACIÓN DE SALUD INFANTIL EN MÉXICO,Universidad Autónoma De San Luis Potosí,Fernando Díaz Barriga Martínez,Nivel 2,Universidad Autónoma De San Luis Potosí,EVALUACIÓN DEL RIESGOS EN SALUD EN SITIOS CONTAMINADOS
ESCENARIOS DE INEQUIDAD AMBIENTAL Y EVALUACIÓN DE SALUD INFANTIL EN MÉXICO,Universidad Autónoma De San Luis Potosí,GABRIELA DOMINGUEZ CORTINAS,,Universidad Autónoma De San Luis Potosí,BIOMONITOREO AMBIENTAL Y BIOLÓGICO
ESCENARIOS DE INEQUIDAD AMBIENTAL Y EVALUACIÓN DE SALUD INFANTIL EN MÉXICO,Universidad Autónoma De San Luis Potosí,LETICIA CARRIZALES YÁÑEZ,Nivel 1,Universidad Autónoma De San Luis Potosí,CIENCIAS AMBIENTALES Y BIOMONITOREO DE NIÑOS
ESCENARIOS DE INEQUIDAD AMBIENTAL Y EVALUACIÓN DE SALUD INFANTIL EN MÉXICO,Universidad Autónoma De San Luis Potosí,MARIA TERESA HERNÁNDEZ CRUZ,,Universidad Autónoma De San Luis Potosí,SOCIOLOGÍA AMBIENTAL
ESCLEROSIS MÚLTIPLE: IDENTIFICACIÓN MICROSCÓPICA DEL VIRUS DE LA VARICELA EN DIVERSAS MANIFESTACIONES CLÍNICAS,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),Julio Everardo Sotélo Morales,Nivel 3,Instituto Nacional De Neurologia Y Neurocirugia,NERUOLOGÍA
ESCLEROSIS MÚLTIPLE: IDENTIFICACIÓN MICROSCÓPICA DEL VIRUS DE LA VARICELA EN DIVERSAS MANIFESTACIONES CLÍNICAS,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),Graciela Ordoñez Lozano,Nivel 1,Instituto Nacional De Neurologia Y Neurocirugia,Neurología
ESCLEROSIS MÚLTIPLE: IDENTIFICACIÓN MICROSCÓPICA DEL VIRUS DE LA VARICELA EN DIVERSAS MANIFESTACIONES CLÍNICAS,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),BIBIANA CHÁVEZ MUNGUIA,Nivel 2,,BIOLOGÍA CELULAR
"ESPECTROSCOPÍA DE RESONANCIA MAGNÉTICA NUCLEAR DE PROTÓN (Â¹H-MRS) EN PUTAMEN, CAUDADO, SUSTANCIA BLANCA FRONTAL Y AMÍGDALA EN PACIENTES CON ENFERMEDAD DE PARKINSON (EP) Y PSICOSIS.","Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",TERESITA CORONA VAZQUEZ,Nivel 2,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez""",
"ESPECTROSCOPÍA DE RESONANCIA MAGNÉTICA NUCLEAR DE PROTÓN (Â¹H-MRS) EN PUTAMEN, CAUDADO, SUSTANCIA BLANCA FRONTAL Y AMÍGDALA EN PACIENTES CON ENFERMEDAD DE PARKINSON (EP) Y PSICOSIS.","Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",Gregorio Amin Cervantes Arriaga,,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez""",MEDICINA INTERNA
"ESPECTROSCOPÍA DE RESONANCIA MAGNÉTICA NUCLEAR DE PROTÓN (Â¹H-MRS) EN PUTAMEN, CAUDADO, SUSTANCIA BLANCA FRONTAL Y AMÍGDALA EN PACIENTES CON ENFERMEDAD DE PARKINSON (EP) Y PSICOSIS.","Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",Mayela de Jesús Rodríguez Violante,,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez""",NEUROLOGÍA
"ESPECTROSCOPÍA DE RESONANCIA MAGNÉTICA NUCLEAR DE PROTÓN (Â¹H-MRS) EN PUTAMEN, CAUDADO, SUSTANCIA BLANCA FRONTAL Y AMÍGDALA EN PACIENTES CON ENFERMEDAD DE PARKINSON (EP) Y PSICOSIS.","Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",LUIS CARLOS AGUILAR VENEGAS,,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez""",NEUROPSIQUIATRÍA
"ESPECTROSCOPÍA DE RESONANCIA MAGNÉTICA NUCLEAR DE PROTÓN (Â¹H-MRS) EN PUTAMEN, CAUDADO, SUSTANCIA BLANCA FRONTAL Y AMÍGDALA EN PACIENTES CON ENFERMEDAD DE PARKINSON (EP) Y PSICOSIS.","Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",MARIO LÓPEZ GÓMEZ,Nivel 1,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez""",NEUROPSIQUIATRÍA
"ESPECTROSCOPÍA DE RESONANCIA MAGNÉTICA NUCLEAR DE PROTÓN (Â¹H-MRS) EN PUTAMEN, CAUDADO, SUSTANCIA BLANCA FRONTAL Y AMÍGDALA EN PACIENTES CON ENFERMEDAD DE PARKINSON (EP) Y PSICOSIS.","Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",FRANCISCO CAMILO DE LA FUENTE SANDOVAL,,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez""",PSIQUIATRÍA
ESTABLECIMIENTO DE DIETAS CON DIFERENTE CONTENIDO DE ÁCIDOS GRASOS DE CADENA LARGA PARA REDUCIR LA HIPERTRIGLICERIDEMIA Y SUS COMPLICACIONES EN SUJETOS CON SOBREPESO U OBESIDAD PORTADORES DEL POLIMORFISMO ALA54TRE DEL GEN FABP2.,Universidad De Guadalajara,MARITZA ROXANA GARCÍA GARCÍA,,Universidad De Guadalajara,Nutriología
ESTABLECIMIENTO DE DIETAS CON DIFERENTE CONTENIDO DE ÁCIDOS GRASOS DE CADENA LARGA PARA REDUCIR LA HIPERTRIGLICERIDEMIA Y SUS COMPLICACIONES EN SUJETOS CON SOBREPESO U OBESIDAD PORTADORES DEL POLIMORFISMO ALA54TRE DEL GEN FABP2.,Universidad De Guadalajara,JOSÉ ANTONIO LUNA PECH,,Universidad del Valle de Atemajac,Nutriología
ESTABLECIMIENTO DE DIETAS CON DIFERENTE CONTENIDO DE ÁCIDOS GRASOS DE CADENA LARGA PARA REDUCIR LA HIPERTRIGLICERIDEMIA Y SUS COMPLICACIONES EN SUJETOS CON SOBREPESO U OBESIDAD PORTADORES DEL POLIMORFISMO ALA54TRE DEL GEN FABP2.,Universidad De Guadalajara,BERTHA RUÍZ MADRIGAL,Nivel 1,Universidad De Guadalajara,Medicina y Patología Humana
ESTABLECIMIENTO DE DIETAS CON DIFERENTE CONTENIDO DE ÁCIDOS GRASOS DE CADENA LARGA PARA REDUCIR LA HIPERTRIGLICERIDEMIA Y SUS COMPLICACIONES EN SUJETOS CON SOBREPESO U OBESIDAD PORTADORES DEL POLIMORFISMO ALA54TRE DEL GEN FABP2.,Universidad De Guadalajara,Arturo Panduro Cerda,Nivel 2,Universidad De Guadalajara,HEPATOLOGIA MOLECULAR
ESTABLECIMIENTO DE DIETAS CON DIFERENTE CONTENIDO DE ÁCIDOS GRASOS DE CADENA LARGA PARA REDUCIR LA HIPERTRIGLICERIDEMIA Y SUS COMPLICACIONES EN SUJETOS CON SOBREPESO U OBESIDAD PORTADORES DEL POLIMORFISMO ALA54TRE DEL GEN FABP2.,Universidad De Guadalajara,JOSÉ ALFREDO DOMÍNGUEZ ROSALES,Nivel 1,Universidad De Guadalajara,Patología
ESTABLECIMIENTO DE DIETAS CON DIFERENTE CONTENIDO DE ÁCIDOS GRASOS DE CADENA LARGA PARA REDUCIR LA HIPERTRIGLICERIDEMIA Y SUS COMPLICACIONES EN SUJETOS CON SOBREPESO U OBESIDAD PORTADORES DEL POLIMORFISMO ALA54TRE DEL GEN FABP2.,Universidad De Guadalajara,DANIEL QUEZADA ARELLANO,,Universidad De Guadalajara,QUIMICA Y FARMACOBIOLOGÍA
Establecimiento de líneas celulares de la planta mexicana en peligro de extinción Magnolia dealata Zucc productoras de los nuevos compuestos ansiolíticos Honokiol y Magnolol con incremento en su rendimiento utilizando estrategias biotecnológicas,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Francisco Cruz Chávez,Nivel 1,Universidad Nacional Autlónoma Metropolitana,BIOTECNOLOGÍA
Establecimiento de líneas celulares de la planta mexicana en peligro de extinción Magnolia dealata Zucc productoras de los nuevos compuestos ansiolíticos Honokiol y Magnolol con incremento en su rendimiento utilizando estrategias biotecnológicas,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Hermelinda Salgado Ceballos,Nivel 1,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Neurofisiología
Establecimiento de líneas celulares de la planta mexicana en peligro de extinción Magnolia dealata Zucc productoras de los nuevos compuestos ansiolíticos Honokiol y Magnolol con incremento en su rendimiento utilizando estrategias biotecnológicas,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Sandra Orozco Suarez,Nivel 1,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",neuromorfología
Establecimiento de líneas celulares de la planta mexicana en peligro de extinción Magnolia dealata Zucc productoras de los nuevos compuestos ansiolíticos Honokiol y Magnolol con incremento en su rendimiento utilizando estrategias biotecnológicas,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Marco Antonio Chávez Soto,,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Productos Naturales
ESTANDARIZACIÓN Y TRANSFERENCIA TECNOLÓGICA DE LOS PROCESOS DE FABRICACIÓN DE LOS SISTEMAS REDUCTORES DE PRESIÓN PARA LESIONADOS MEDULARES.,Instituto Nacional de Rehabilitación,Diana Alicia Gayol Mérida,,Instituto Nacional de Rehabilitación,INGENIERÍA BIOMÉDICA
ESTANDARIZACIÓN Y TRANSFERENCIA TECNOLÓGICA DE LOS PROCESOS DE FABRICACIÓN DE LOS SISTEMAS REDUCTORES DE PRESIÓN PARA LESIONADOS MEDULARES.,Instituto Nacional de Rehabilitación,ALEJANDRA DEL CARMEN DE ALBA MAYANS,,"Universidad Iberoamericana, A.C.",INGENIERÍA BIOMÉDICA
ESTANDARIZACIÓN Y TRANSFERENCIA TECNOLÓGICA DE LOS PROCESOS DE FABRICACIÓN DE LOS SISTEMAS REDUCTORES DE PRESIÓN PARA LESIONADOS MEDULARES.,Instituto Nacional de Rehabilitación,Jorge Ernesto Letechipia Moreno,,Instituto Nacional de Rehabilitación,INGENIERÍA DE REHABILITACIÓN
ESTANDARIZACIÓN Y TRANSFERENCIA TECNOLÓGICA DE LOS PROCESOS DE FABRICACIÓN DE LOS SISTEMAS REDUCTORES DE PRESIÓN PARA LESIONADOS MEDULARES.,Instituto Nacional de Rehabilitación,Raúl Peralta Hernández,,Instituto Nacional de Rehabilitación,Ortesis y Prótesis
ESTANDARIZACIÓN Y TRANSFERENCIA TECNOLÓGICA DE LOS PROCESOS DE FABRICACIÓN DE LOS SISTEMAS REDUCTORES DE PRESIÓN PARA LESIONADOS MEDULARES.,Instituto Nacional de Rehabilitación,RAMIRO PÉREZ ZAVALA,,Instituto Nacional de Rehabilitación,Rehabilitación neurológica
ESTIGMA Y ENFERMEDAD MENTAL: UN PROGRAMA DE INTERVENCIÓN COMUNITARIA PARA SU APLICACIÓN EN POBLACIÓN GENERAL Y CLÍNICA.,"Instituto Nacional De Psiquiatría ""Ramon De La Fuente Muñiz""",María Elena Teresa Medina-Mora Icaza,Nivel 3,"Instituto Nacional De Psiquiatría ""Ramon De La Fuente Muñiz""",PSICOLOGÍA SOCIAL
